source_doc_id,cited_doc_id,type_of_reference,details
R1-2404995,3GPP TR 21.900,Procedural Reference,Defines CR categories (F/A/B/C/D) used for change classification
R1-2400903,R1-2400901,Companion Contribution,Discussion on on-demand SSB SCell operation
R1-2407866,RP-234065,Work Item Description,Rel-19 Network Energy Saving WID approved at RAN#102
R1-2402603,R1-2401709,Background Material,Rapporteur's compiled list of Rel-18 UE features
R1-2406743,TR38.901,Baseline model,3GPP channel model for 0.5-100 GHz frequencies
R1-2404108,RP-240087,Revised WID,NR MIMO Phase 5 Work Item Description
R1-2402820,RAN1#116 Chair Notes,Citation,Agreements on UL WUS options and triggering conditions.
R1-2301712,R1-2401640,Contribution,Summary#2 of discussion on UE features for NR sidelink evolution
R1-2408762,R1-2407480,Previous Session Notes,RAN1#118 ISAC session report
R1-2406626,38.213,Technical Specification,Modified clause 10.1 for UE PDCCH QCL behavior
R1-2402333,R1-2401855,Meeting Summary,Final summary on CW waveform characteristics from RAN1#116
R1-2409315,38.214,Technical Specification,NR Physical layer procedures for data transmission
R1-2400291,38.212,Technical Specification,Referenced for PUCCH resource indicator field definitions
38.213 CR rev,38.214,Normative Reference,PUSCH transmission specifications with repetition Type B
R1-2400670,IEEE 802.11ba,Technical Standard,Wake-Up Radio operation for WLAN systems
R1-2400698,R1-2400008,Liaison Statement,RAN2 LS on MAC agreements for SL positioning
R1-2410595,R1-2409155,Meeting Summary,Summary from RAN1#118bis on channel model discussions
R1-2410731,38.212,3GPP Specification,DCI field structures for formats 0_3/1_3 (Tables 7.3.1.2.3-1)
R1-2404211,R1-2403693,Change Request,CR for TS 38.214 revised in R1-2403737
R1-2407118,RP-241667,Revised WID,Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2405609,R1-2405228,Draft CR,T_offset specification for UL Tx switching
R1-2406062,RP-234018,Study Item,New SID on channel modeling enhancements for 7-24GHz approved at RAN#102
R1-2403356,38.213,Technical Specification,Clause 16.3.0 describing PSFCH resource allocation
R1-2409683,R1-2408993,Technical Contribution,Referenced for D2R amble trade-off analysis (Table 3.2.4)
R1-2406623,38.214,Technical Specification,NR Physical layer procedures for data transmission
R1-2406888,RP-240774,Work Item Description,Revised WID on AI/ML for NR Air Interface
R1-2404683,38.215,Citation,Defines UL RTOA reference time T0+tSRS for timing measurements
R1-2402667,R1-116,Meeting Notes,RAN1#116 agreements on device architectures
R1-2401546,RP-234039,Work Item Description,Original WID for AI/ML positioning enhancements
R1-2408179,38.321,Technical Specification,NR Medium Access Control (MAC) protocol specification
R1-2403241,RP-234035,WID Approval,New WID on NR duplex operation enhancements
R1-2407667,R1-2403663,Previous Agreement,Session notes for Ambient IoT framework discussions
R1-2401259,TR 228.840,Technical Report,SA1 study on use cases and requirements for ambient-powered IoT
R1-2406396,38.843,Technical Report,TR 38.843 on AI/ML for air interface
R1-2408994,R1-2407782,CR Proposal,ZTE/Sanechips CR for SDM/SFN precoding in 38.211
R1-2402324,RP-234007,Citation,NR MIMO Phase 5 WID agreement from RAN#102
R1-2406844,R1-2405783,Guideline Document,Referenced for offline discussion guidelines and document naming conventions
R1-2404054,TR 38.843,Technical Report,Rel-18 Study on AI/ML for NR air interface
R1-2409759,RAN1 #117,Previous Agreement,Timing aspects for A-IoT energy harvesting
R1-2409153,R1-2407803,Contribution,Ericsson's discussion on channel model adaptation
R1-2402609,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2407992,38.843,Technical Report,3GPP TR 38.843 definition of model identification
R1-2402496,RP-234007,Work Item Description,NR MIMO Phase 5 WID by Samsung
R1-2405620,38.213,Affected Specification,Clause 9 modified to prohibit UCI multiplexing on Msg3.
R1-2400818,TR 22.837,Technical Report,Feasibility study on ISAC use cases
R1-2402147,RP-234039,Work Item Description,Approved WID on AI/ML for NR air interface
R1-2402156,RP-234007,Work Item Description,New WID: NR MIMO Phase 5 (Samsung)
R1-2409794,RP-242394,Updated Work Item,Revised objectives for 3Tx UE support
04748,38.212,Technical Specification,PDCCH order format reference
R1-2400355,RP-234078,Work Item Description,New WID: Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2410175,RP-234007,Work Item Dependency,References NR MIMO Phase 5 WID approved at RAN#102
R1-2403470,R1-2401995,Contribution,Huawei's analysis on SBFD RACH configuration options
R1-2402971,RP-240826,Background,Study on solutions for Ambient IoT in NR from RANP#103
R1-2403777,38.864,Technical Report,Defines energy efficiency evaluation frameworks for Cat 1/Cat 2 BS.
R1-2403209,TR38.901,Technical Report,Base channel model for frequency bands up to 100 GHz
R1-2410280,36.763,Technical Report,Study on NB-IoT/eMTC support for NTN (v17.0.0)
R1-2401822,Rel-17,Prerequisite,HARQ feedback mechanisms for CE modes
R1-2406575,RAN1#117 Chairman's Note,Previous Agreement,Agreements on SBFD PRACH configuration and power control
R1-2407092,RP-240799,Study Item Proposal,New SID on ISAC channel modeling endorsed in RAN#103.
R1-2409540,38.214,Specification,Physical layer procedures for data
R1-2405221,38.213,Technical Specification Amendment,Base specification being modified by this CR
R1-2401667,TS 38.213,Specification,Defines current CSS configuration requirements for BWPs.
R1-2410377,R1-2409286,Citation,Final summary of specification support for positioning accuracy enhancement
R1-2405255,R1-2404107,Citation,Moderator summary for offline codebook discussions
R1-2401217,RP-234035,Work Item Description,New WID on Sub-band Full Duplex
R1-2403548,R1-2401950,Liaison Statement,LS from RAN2 on decisions on SLPP
R1-2401970,TR 38.848,Baseline Study,Initial Ambient IoT study in Release 18
R1-2406335,R1-2312690,RAN1 Agreement,Rel-18 agreements on NR positioning enhancements
R1-2405559,R1-2404227,Contribution,ZTE's proposal for multiplexing without TB
R1-2404207,38.331,Technical Specification,NR Radio Resource Control protocol configuration
R1-2404157,38.212,Technical Specification,DCI formats and antenna port indication
R1-2407292,R1-2406742,Contribution,Ericsson's analysis on wavefront modeling necessity
R1-2406316,RP-240826,Meeting Report,Approval of Ambient IoT as Rel-19 Study Item at RAN#102.
3GPP TR 38.769,3GPP TR 21.905,Normative,Vocabulary reference for 3GPP specifications
R1-2410804,R1-2409425,Citation,Procedures and functionalities of LP-WUS in CONNECTED mode by Huawei/HiSilicon
R1-2402049,RP-240170,Work Item,Enhancements of Network Energy Savings for NR
R1-2404034,RP-234065,Work Item Description,New WID: Enhancements of network energy savings for NR
R1-2407737,R1-2407544,Meeting Document,FL summary on CW waveform characteristics from RAN1#118
R1-2403248,R1-2403247,Companion Contribution,Frame structure and timing aspects for Ambient IoT
R1-2401303,R1-2311993,Contribution,Previous MediaTek submission on AIML for CSI feedback
R1-2406143,RP-234058,Study Item Description,Original Ambient IoT study approval
R1-2406544,R1-2406544,Meeting Notes,Chair's Notes from 3GPP TSG RAN WG1 #117
R1-2403972,R1-2208121,Liaison Statement,LS on SL P0 parameters for OLPC
R1-2402175,RAN1 #116,Agreement,Link-level evaluation parameters for NTN uplink OCC.
R1-2409803,3GPP TR 38.769,Technical Report,TR capturing R2D/D2R signal design agreements.
R1-2400338,RP-234056,Normative Reference,New WID for Low-power wake-up signal and receiver specifications
R1-2409182,38.211,Technical Specification,Physical layer procedures specification
R1-2401865,38.211,Normative,Physical channels and modulation
R1-2408781,RP-242394,Work Item Description,NR MIMO Phase 5 WID revision from RAN#105 meeting
R1-2401517,R1-2312705,Background,Corrected RAN1 UE features list for Rel-18 NR
R1-2409650,RAN1#118 Chair Notes,Previous Meeting Agreement,SSB periodicity extension agreements
R1-2404496,RP-234007,Work Item Description,Rel-19 MIMO Enhancement WID
R1-2410228,RP-234065,WID,Rel-19 Work Item Description for Network Energy Savings
R1-2409751,3GPP TR 38.843,Technical Report,Study on AI/ML for NR air interface (Rel-18)
R1-2408693,38.213,Technical Specification,Table 10.3-1 defines minimum time gap values for DCI format 2-6
R1-2401214,RP-234035,Work Item,New WID: Evolution of NR duplex operation for SBFD in Rel-19.
R1-2405588,R1-2402128,Contribution,Workplan presented in RAN1 #116-bis
R1-2406371,R1-2403774,Citation,FL Summary on modulation/waveform impacts on device architecture
R1-2403591,38.213,Modified Specification,Clause 10.1 UE procedures amendment
R1-2402153,R1-2401752,Related Agreement,Summary of Rel-18 NES cell DTX/DRX discussions
R1-2408809,TR 36.885,Methodology Reference,V2X communication scenario specifications
R1-2407651,Fundamentals of Radar Signal Processing,Book,Theoretical basis for sensing performance analysis.
R1-2407355,R1-2406136,Contribution,Ericsson's proposal on SBFD CLI handling mechanisms
R1-2407308,RP-234007,Work Item Description,New WID: NR MIMO Phase 5 specifications
R1-2409012,R1-2405106,Technical Contribution,Ericsson's proposal for UL-WUS configuration parameters
R1-2407525,38.214,Technical Specification,3GPP TS 38.214 NR Physical layer procedures for data
R1-2407993,R1-2407184,Performance Analysis,Showed benefits of non-coherent UE antenna ports for phase offset reporting.
R1-2407275,R1-2407032,Proposal,Qualcomm's receiver sensitivity table for RF-ED/ZIF configurations.
R1-2406843,IEEE 802.15.4,Technical Standard,Backscatter communication fundamentals
R1-2406204,TS 38.214,Normative,PUSCH repetition configuration parameters
R1-2410584,3GPP TR 38.821,Technical Report,Solutions for NR to support non-terrestrial networks
R1-2402954,3GPP TR 38.869,Technical Report,Study on low-power wake-up signal/receiver for NR (Release 18).
R1-2410793,TS 36.214,Specification,Defines E-UTRAN measurement quantities.
R1-2405381,EPC Gen2,Standard,RFID protocol used as reference for timing mechanisms
R1-2410574,R1-2409088,Meeting Notes,Summary #3 of SBFD procedures from RAN1#118-bis
R1-2407519,38.321,Citation,Medium Access Control (MAC) protocol specification
R1-2400971,R1-2205701,Report,RAN1#109 agreements on NTN evaluation assumptions for SSB/PDSCH.
R1-2410647,EPC Gen2 Spec v2.0.1,External Standard,RFID air interface protocol reference
R1-2408107,TR 38.843,Technical Report,Study on AI/ML for NR air interface (V2.0.1)
R1-2408707,R1-2405106,Contribution,Ericsson's proposal on UL WUS configuration parameters
R1-246944,RP-240799,SID,Revised Study Item Description for ISAC channel modeling
R1-2410238,RP-242356,Work Item Description,Revised WID for Rel-19 NR mobility enhancements Phase 4
R1-2409229,R1-2408180,Discussion,Extending measurement time window for UL RSCP
R1-2406542,TR 38.843,Technical Report,Captures Rel-18 AI/ML study outcomes for air interface.
R1-2402100,RP-234007,Related work,New SID: NR MIMO Phase 5
R1-2404775,R1-240XXXX,Previous Meeting Report,Draft Report of 3GPP TSG RAN WG1 #116b v0.3.0 (April 2024)
R1-2402928,R1-2400753,Contribution,Ericsson's prior analysis on CSI enhancements.
R1-2407171,38.214,Technical Specification,NR physical layer procedures for data
R1-2402147,38.843,Technical Report,Rel-18 study on AI/ML for NR air interface
R1-2409570,NR_MIMO_Ph5-Core,Work Item,Rel-19 MIMO Enhancement Work Item
R1-2408458,RP-242394,WID Revision,NR MIMO Phase 5 Work Item Description
R1-2402917,R1-116,Meeting Report,Draft Report of 3GPP TSG RAN WG1 #116 v0.1.0
R1-2401270,R1-2312333,RAN1 Contribution,RAN1 #115 Moderator Summary on AI/ML aspects
R1-2407114,RP-248026,Revised SID,Rel-19 Ambient IoT Study Item Description
CR-Form-v12.3,TR 21.900,Technical Report,"Explains 3GPP CR categories (e.g., Category A)."
R1-2403957,RP-240826,Revised SID,Study on Ambient IoT solutions in NR
R1-2409411,38.858,Technical Report,TR 38.858 discusses gNB antenna configurations for SBFD.
R1-2405594,TS 38.211,Technical Specification,Physical channels and modulation
R1-2402831,R1-2401937,Previous Meeting Report,Report of RAN1#116 meeting
R1-2408157,RP-242408,Work Item Description,New WID: Multi-carrier enhancements for NR Phase 2 (Lenovo)
R1-2408429,TR 38.843,Technical Report,Rel-18 Study Item on AI/ML for NR positioning
R1-2400975,R1-2312142,Summary,FR2-NTN discussion summary from RAN1#115
R1-2409832,RP-241667,Work Item,Revised NTN Phase 3 WID for Rel-19 enhancements
R1-2408172,R1-2407244,FL Summary,FL summary#3 for AI 8.1 SL-U physical channel design framework
R1-2403332,R4-2316941,Meeting Report,RAN4 agreement on SBFD transition periods
R1-24xxxxx,R1-2410771,Discussion Summary,PRACH transmission corrections for LTM
R1-2400626,RP-234007,Work Item Description,"New WID: NR MIMO Phase 5, Samsung, RAN#102, Dec. 2023"
R1-2400095,RP-234039,Technical Report,NR AI/ML Air Interface Work Item Description
R1-2409489,RP-241614,Work Item,Revised WID for Evolution of NR Duplex Operation including SBFD
R1-2406163,TS38.214,Technical Specification,Defines physical layer procedures for NR uplink.
R1-2406969,RP-234039,Citation,New WID on AI/ML for NR air interface approved at RAN#102
R1-2406351,38.214,Technical Specification,NR Physical layer procedures for data
R1-2406465,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface in Release 19
R1-2404423,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-2401019,RP-234058,3GPP Technical Report,New SID on study on solutions for Ambient IoT in NR
R1-2405734,38.214,Technical Specification,NR Physical layer procedures for data
R1-2408776,RP-242399,Revised WID,Artificial Intelligence (AI)/Machine Learning (ML) for NR Air Interface
R1-2408042,RP-232394,Revised WID,Rel-19 NR MIMO WID revision from RAN#105
R1-2404174,TR 38.858,Technical Report,Rel-18 study on NR duplex operation enhancements
R1-2401386,38.101-1,Technical Specification,GSCN tables for carrier frequency identification
R1-2407010,38.331,Technical Specification,NR Radio Resource Control protocol specification
R1-2409900,EPC Gen2 UHF RFID Spec,Comparative Technology,RFID air interface protocol for 860-960MHz communications
R1-2408224,RP-242394,Related Work,WID revision for NR MIMO Phase 5
R1-2409393,TR37.885,Technical Report,Mobility models for automotive scenarios
R1-2401876,38.306,Normative Reference,Defines HARQ process limitations for UE capability
R1-2400866,RP-234069,Study Item Description,New SID on ISAC channel modeling approved at RAN#102
R1-2403248,RP-234058,SID,Approved Study Item Description for Ambient IoT in NR
R1-2402885,RP-234058,Study Item Description,New SID on Ambient IoT approved in RAN#102
R1-2400251,RP-234065,Work Item Description,Rel-19 Network Energy Saving Work Item approval
R1-2401886,38.212,Technical Specification,Cited for DCI format field definitions
R1-2405118,R1-2401842,Meeting Summary,Summary of RAN1#116 discussions on SRS power scaling
R1-2404169,TR38.843,Technical Report,Study on AI/ML for NR air interface (Rel-18)
R1-2407233,R1-2406810,Citation,Proposal for autonomous/aperiodic GNSS triggering methods in IoT-NTN.
R1-2404038,TR 36.777,UAV support study,Enhanced LTE support for aerial vehicles
R1-2401974,TR 38.848,Technical Report,Initial study on Ambient IoT in 3GPP Release 18
R1-2404428,R1-2403774,Previous Meeting Summary,FL Summary from RAN1 #116-bis meeting
R1-2401776,R2-2313959,Liaison Statement,RAN2 agreement on UL Tx switching configurations for band combinations
R1-2403465,R1-2402092,Contribution,Nokia's proposal on antenna port reporting
R1-2404721,R1-2403756,Contribution,FL summary on AI/ML beam management by Samsung
R1-2408383,RAN1#118,Previous meeting notes,Chairman Notes from RAN1#118 meeting
R1-2405184,R1-2403749,Citation,RAN1#116bis agreements on preamble design.
R1-2400490,R1-2400491,Citation,Carrier wave design for Ambient IoT
R1-2406949,RP-241667,Revised WID,Revised Work Item Description for NR-NTN Phase 3 enhancements.
R1-2404827,R2-2403979,LS (Liaison Statement),RAN2 LS initiating the DL-AoD measurement discussion.
R1-2408677,RP-242354,Work Item Dependency,Revised WID: Enhancements of network energy savings for NR
R1-2400777,RP-234058,Meeting Report,Rel-19 SI approval at RAN#102
R1-2403491,R1-2203012,Guideline,File naming conventions for 3GPP contributions.
R1-2409049,R1-2408249,Contribution,Draft CR for PSFCH candidate resource determination
R1-2409303,38.214,Technical Specification,NR Physical layer procedures for data
R1-2400742,TR 38.864,Technical Report,Study on network energy savings techniques including signal adaptation
R1-2408380,RAN1#118,Previous Meeting Notes,Chairman notes from RAN1#118 meeting on beam management agreements.
R1-2403711,38.212,Technical Specification,NR Multiplexing and channel coding
R1-2403328,R1-2401521,RAN1 Agreement,RAN1 agreements for Rel-17 NR RedCap
R1-2409071,R1-2408851,Contribution,Qualcomm's analysis of CRC overhead and SFO impacts.
R1-2408682,RAN1#118 Chairman’s notes,Previous meeting notes,Agreements on XR traffic handling during RRM measurements
R1-2409108,R1-2407619,Contribution,Futurewei's discussion on on-demand SSB scenarios.
R1-2407846,R1-2402446,Meeting Document,Power assumption correction proposal by Samsung
R1-2410232,TR 38.869,Technical Report,Study on low-power wake-up signal/receiver for NR
R1-2404585,TR 38.843,Technical Report,Study on AI/ML for NR air interface.
R1-2405716,38.214,Citation,Physical layer procedures specification
R1-2400340,RP-234036,Work Item Description,New WID for NR LP-WUS/WUR approved in Rel-19
R1-2407671,TR 38.848,Technical Report,Study on Ambient IoT deployment scenarios and requirements
R1-2401360,R1-2400086,Contribution,Nokia's views on NES UE features
R1-2403464,R1-2402215,Contribution,Discusses Msg3 repetition timing corrections in NTN
R1-2401364,R1-2400149,Contribution,Huawei/HiSilicon's proposal on GSO/NGSO capability differentiation.
R1-2410788,38.214,Technical Specification,QCL assumptions for CLI measurements
R1-2401438,RP-234007,Work Item Description,NR MIMO Phase 5 WID approved at RAN#102
R1-2410594,TR 38.901,Baseline Model,3GPP channel model specification (0.5-100 GHz)
R1-2403341,RAN1#114,Chair’s Notes,Agreements on SRS aggregation in RRC_CONNECTED state.
R1-2403633,RP-234078,Objective Definition,Original work item objective for RedCap NTN support
R1-2402637,RP-240170,WID,Revised WID for Network Energy Savings enhancements
R1-24xxxxx,RP-242399,Technical Report,Defines the scope of the Rel-19 AI/ML Work Item.
R1-240xxxx,R1-2403355,Change Request,Proposed CR for resolving specification discrepancy
R1-2407214,R1-2405958,Contribution,Google's proposal for UL WUS configuration parameters
R1-2402373,TS 38.214,Technical Specification,UL repetition and invalid symbol determination procedures.
R1-2408906,R2-2407623,Liaison Statement,LS on common TA in regenerative payload scenarios.
R1-2406732,RAN1#117,Citation,Chairman's notes from RAN1#117 (May 2024) on prior agreements for on-demand SSB.
R1-2407391,3GPP TS 38.211,Technical Specification,Physical channels and modulation specification
R1-2403764,R1-2403344,Contribution,Huawei's initial proposal supporting Understanding 2.
R1-2403306,RP-234065,WID,New WID: Enhancements of network energy savings for NR
R1-2408159,RP-234039,Work Item,Rel-19 WID on AI/ML for NR Air Interface
R1-2402701,38.214,Technical Specification,NR Physical layer procedures for data
R1-2408713,RP-242408,Citation,New WID on Multi-Carrier enhancements agreed at RAN#105
R1-2408426,3GPP TR 38.821,Technical Report,NTN solutions including beam layout definitions
R1-2400886,TS 38.133,Technical Specification,"Requirements for RRM support, including scheduling restrictions."
R1-2405641,R1-2401635,Contribution,Qualcomm proposal on gNB-to-gNB CLI handling
R1-2410605,38.211,Technical Specification,RAN1 OFDM signal generation and PRB grid specifications.
R1-2409479,TR 38.843,Technical Report,Rel-18 study on AI/ML for beam management
R1-2400690,RP-234069,Study Item,3GPP ISAC channel modelling study item description
R1-2408449,R1-2408449,CR,Rel-17 mirror of PUR parameter alignment.
R1-2404711,38.214,Parent Specification,Physical layer procedures for data transmission
R1-2408333,RP-242399,Related Work,Revised WID on AI/ML for NR Air Interface by Qualcomm
38.211 CR,38.212,Technical Specification,NR Multiplexing and channel coding (DCI formats)
R1-2406404,R1-2405433,Citation,Final FL Summary for Ambient IoT Device Architecture from RAN1#117.
R1-2401408,R1-2312592,Previous Meeting Summary,FL summary on Clarifications on SUL from RAN1#115
R1-2406702,RP-234035,Work Item Description,WID revision for NR duplex evolution including SBFD
R1-2405252,38.101-1,Technical Specification,NR User Equipment (UE) radio transmission requirements
R1-2400447,TR 38.901,Channel Model,Base channel model for urban/indoor scenarios
R1-2402763,RP-224080,Related Work,New WID for XR in NR Phase 3
R1-2402349,R1-2312697,Parameter Specification,RRC parameter list for positioning measurements
R1-2400401,RP-234039,Citation,NR AI/ML enhancement objectives for on-demand SSB and SIB1 operation
R1-2403490,RP-213599,Rel-19 Work Item,Approved Rel-19 AI/ML WI objectives
R1-2409944,TR 38.769,Technical Report,Captures agreements on R2D timing acquisition signal design
R1-2410759,R1-2409207,Approved CR,MIMO 2TA collision resolution precedent
R1-2406370,TR 38.848,Technical Report,3GPP study on Ambient IoT in RAN (Release 18).
R1-2410169,R1-2409226,RAN1 Meeting Notes,Session notes for NTN Phase 3 discussions at RAN1#118-bis.
R1-2402901,R1-2306379,Citation,"LS on new DRX cycles in rational numbers (Qualcomm, Rel-18 NR_XR_enh-Core)."
R1-2407806,38.214,Technical Specification,NR Physical layer procedures for data
R1-2409875,RAN1#118bis,Meeting Minutes,Chairman's notes from RAN1 #118-bis meeting
R1-2406970,R1-2405577,Liaison Statement,Endorsed LS on AI/ML positioning work assumptions
R1-2403356,38.101-1,Technical Specification,Power class requirements for UE transmissions
R1-2405101,38.331,Technical Specification,3GPP NR Radio Resource Control protocol specification
R1-2405917,RP-234065,Work Item Description,New WID: Enhancements of network energy savings for NR
R1-2405967,RAN1 #117,Citation,Agreements on CW waveform transmission for A-IoT.
R1-2403141,RP-234039,Work Item,New WID on AI/ML for NR Air Interface endorsed at RAN #102.
R1-2404868,3GPP TR 38.848,Technical Report,Study on Ambient IoT in RAN (Release 18)
R1-2410019,RP-234039,Normative,Rel-18 WID on AI/ML for NR Air Interface
R1-2405074,LS to RAN2/RAN4,Liaison Statement,RAN1 will send an LS to RAN2/RAN4 on supported measurement metrics.
R1-2400790,TR 36.763,Technical Report,NB-IoT/eMTC support for Non-Terrestrial Networks
R1-2407700,Draft_Minutes_report_RAN1#118_eom0,Meeting report,Previous meeting minutes referenced for context
R1-2403787,RP-234078,Objective Reference,Original work item description for NTN RedCap support
R1-2404598,38.213,Technical Specification,NR Physical layer procedures for control
R1-2410306,RP-240776,Work Item Description,NTN for IoT Phase 3 WID objectives
R1-2402148,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2407642,R1-2407593,Citation,RAN2 LS requesting RAN1 input on TB sizes for Ambient IoT
R1-2408806,R1-2408952,Related Work,Chair's notes from RAN1#118 meeting containing previous agreements
R1-2404164,R1-2403703,Supporting Document,Updated RAN1 UE features list for Rel-18 NR
R1-2400407,38.306,Technical Specification,NR UE radio access capabilities
R1-2400416,38.213,Specification,TS 38.213: NR Physical layer procedures for control.
R1-2402173,RP-223540,Technical Specification,Rel-18 Network Energy Saving techniques
R1-2407157,RP-241650,Work Item,Revised WID: Enhancements of network energy savings for NR
R1-2402236,RP-234007,Work Item Description,New WID: NR MIMO Phase 5
R1-2408541,R1-2407305,Meeting Summary,Summary#4 for other aspects of AI/ML models
R1-2409500,RAN1#118bis Chairman's Notes,Meeting Documentation,Previous agreements on measurement reporting formats
R1-240xxxx,RAN1#116,Previous Agreement,OFDM-based waveform and OOK modulation agreements
R1-2400677,RP-234080,Work Item Description,Rel-19 XR Work Item agreement
R1-2404394,RAN1 #116bis Chairman's Notes,Previous Meeting Agreement,Foundation for current Event-2 beam reporting procedures
R1-2406775,R1-2401857,Meeting Report,Final feature lead summary on channel aspects
R1-2406230,RP-241667,Related Work,Revised WID for NTN Phase 3 enhancements
R1-2407148,R1-2112986,Previous CR,Original introduction of erroneous formula
R1-2405627,R1-2310669,Previous Agreement,Original RAN1 agreement on TCI state application timing
R1-2401209,RP-234056,Work Item,Revised WID on Low-power wake-up signal and receiver for NR (LP-WUS/WUR).
R1-2401145,TR 38.864,Technical Report,Study on network energy savings techniques evaluation
R1-2403975,RP-234039,Work Item Description,Approved WID on AI/ML for NR air interface
R1-2402475,RP-234056,Work Item Description,New WID for Low-power wake-up signal and receiver for NR
R1-2402434,R1-2402436,Change Request,CR for TS 38.213 S-SSB transmission
R1-2401229,RP-234035,Work Item,New WID on Evolution of NR duplex operation
R1-2400984,R1-2400021,Liaison Statement,RAN4 request for ATG UE feature standardization
R1-2400592,RP-234056,Related Work,New WID for Low-power wake-up signal and receiver for NR
R1-2408359,R1-2407719,Contribution,Spreadtrum's views on measurement framework limitations
R1-2401031,RP-233303,Citation,Views on scope for NR NTN enhancements in Rel-19.
R1-2409998,RP-241614,Work Item Description,Revised WID for SBFD evolution in Rel-19
R1-2410317,RAN1 #118bis,Meeting Agreement,Agreements on 3T6R antenna switching implementation
R1-2407673,R2-2407831,Citation,RAN2 LS on data block sizes for Ambient IoT
R1-2406102,3GPP TR 38.858,Technical Report,Rel-18 SBFD study document
R1-2404185,TR 38.864,Technical Report,R18 study on network energy savings mechanisms.
R1-2408862,R1-2405964,Liaison Statement,5GAA LS on automotive sensing targets requirements
R1-2400864,R1-2400863,Contribution,LP-WUS and LP-SS design proposal by Sony.
R1-2408514,RP-234069,SID,New Study Item on ISAC channel modeling
R1-2401007,RP-234007,Work Item Dependency,New WID: NR MIMO Phase 5 approved work item
R1-2404704,R1-116bis Chair's Notes,Meeting Summary,Agreements on model identification types and transfer cases.
R1-2405885,WINNER II,Measurement Model,Pathloss model foundation in TR38.901
R1-2402526,TR 38.843,Technical Report,Study on AI/ML for NR Air Interface
R1-2410418,RP-234058,Study Item,New SID on Ambient IoT approved in RAN#102
R1-2410783,R1-2410456,Change Request,CR on application conditions for two starting symbols
R1-2406663,R1-2406662,Related Contribution,Samsung's prior contribution on LP-WUS in IDLE/INACTIVE modes.
R1-2408687,TR 38.848,Technical Report,Study on Ambient IoT in RAN (v18.0.0)
R1-2401744,3GPP TR 21.900,Technical Report,CR categorization guidelines reference
R1-2402435,38.214,Technical Specification,Main specification being amended for SL resource allocation
R1-2408450,36.213,Technical Specification,Base specification being modified for PUR parameters
R1-2403656,R1-2403339,Technical Proposal,Successful GNSS reacquisition requirements
R1-2404865,RP-234035,WID,New WID on Sub-band full duplex evolution
R1-2405994,R1-2405658,Meeting Report,RAN1#117 agreements on on-demand SIB1
R1-2410324,3GPP TR 38.858,Technical Report,Study on Evolution of NR Duplex Operation.
R1-2400843,RP-234078,Parent Work Item,Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2402299,38.331,Technical Specification,Defines UE capabilities for codebook configurations.
R1-2406445,R1-2403679,Previous Agreement,Feature Lead Summary #4 for Ambient IoT physical layer design.
R1-2404511,38.869,Technical Report,LP-WUS study item outcomes
R1-2403899,RP-240774,WID,Rel-19 WID defining AI/ML for NR priorities (Cases 2b/3b)
R1-2410583,RAN1#116,Previous agreement,Rel. 19 work item initiation on NES techniques
R1-2407057,R1-2404122,Contribution,Samsung's analysis of on-demand SIB1 mechanisms
R1-2408558,TR 38.843,Technical Report,3GPP study document on AI/ML for NR air interface
R1-2406222,RP-234056,Related Work,New WID on low-power wake-up signal and receiver for NR
R1-2410608,3GPP TS38.213,Technical Specification,Physical layer procedures for control (Release 18)
R1-2406056,TR 38.843 V1.3.0,Technical Report,Rel-18 study on AI/ML for NR air interface
R1-2406633,38.214,Technical Specification,NR Physical layer procedures for data
R1-2410507,R1-2407590,Liaison Statement,RAN2 LS on common TA in regenerative payload scenarios
R1-2406091,RP-234058,Approval of Study Item,New SID approval for Ambient IoT at RAN#102
R1-2406890,TR 38.848,Technical Report,Study on Ambient IoT in NR
R1-2405710,38.211,Normative,DMRS sequence generation and port configuration
R1-2406385,RP-234018,Citation,New SID approval for 7-24GHz channel modeling study
R1-2405066,R1-2403582,Citation,CR for TS 38.213 on FR2-NTN procedures
R1-2401381,R2-2313848,Related Work,Previous MAC layer specifications discussion
R1-2408608,RP-242399,Work Item Description,Revised WID on AI/ML for NR Air Interface from RAN#105
R2-2401661,R2-2400028,Response Target,Original LS on multicast reception capabilities
R1-2409847,3GPP TR 38.901,Technical Report,Channel model for frequencies from 0.5 to 100 GHz
R1-2407085,RAN1#116,Meeting Notes,Initial agreements on SBFD operation
R1-2403077,RAN1#116,Meeting Agreement,Link-level evaluation parameters for NR NTN UL capacity.
R1-2402112,RP-234065,Work Item Dependency,New WID for NR network energy savings enhancements
R1-2402192,RAN1 Chair’s Note,Previous Agreement,References agreements from RAN1#116 meeting
R1-2406481,RAN1#116,Previous Meeting Agreement,Multi-beam operation support agreements
R1-9411-1,R1-9411-26,Comparative Study,Compares paging interval impacts on inventory completion times
