agenda_id,release,topic,description
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,Discussion of mechanisms to enable energy-efficient SIB1 transmission through UE-initiated PRACH-based wake-up signals
8.12.5,Rel-18,UE features for Further NR Coverage Enhancements,"Discussion on Rel-18 coverage enhancement features including PRACH multi-transmissions, dynamic waveform switching, and intra-band CA support."
9.4.2.2,Rel-19,Frame structure and timing aspects,"Study of synchronization mechanisms, timing relationships, and resource allocation for Ambient IoT communications"
null,,L1/L2-triggered mobility procedures,Discussion on UE behavior for pathloss maintenance in LTM candidate cells.
9.8,3GPP Release 18,Study on channel modelling enhancements for 7-24GHz for NR,"Investigation and potential update of propagation characteristics for 6-7 GHz, validation/extension of TR38.901 channel model including near-field propagation and spatial non-stationarity"
9.1.1,Rel-19,AI/ML for NR Air Interface,"Discussion on specification support for AI/ML-based beam management, including LCM procedures, spatial/temporal prediction, and signaling enhancements."
R2-2403968,,Type 3 PH Value Clarifications,Discussion on PH value reporting mechanisms for serving cells with mTRP and STx2P configurations.
9.4.2.3,Rel-19,D2R and R2D Channel/Signal Aspects for Ambient IoT,"Discussion on PRDCH/PDRCH channel design, transmission information placement, control signaling, and proximity determination methods."
9.11.1,R19,NR-NTN downlink coverage enhancement,Discussion of DL coverage improvements through system-level and link-level enhancements for NTN operation
9.7.1,,Discussion on ISAC deployment scenarios,Discussion on mapping sensing targets to existing communication scenarios and defining evaluation parameters for ISAC channel modeling.
9.6.3,Rel-18,LP-WUS operation in CONNECTED mode,"Discussion on LP-WUS design aspects including PDCCH monitoring schemes, minimum gaps, CA/DC handling, and activation mechanisms."
9.2.1,5G NR,Enhancements for UE-initiated/event-driven beam management,"Discussion on beam reporting procedures, RS measurement schemes, and trigger event definitions for improved beam management"
8.1,Rel-18,Maintenance on Rel-18 NR NTN,"Discussion and decision on maintenance issues for Rel-18 NR NTN, including alignment of RAN1 specifications with RAN4 references and technical corrections for cell DRX, RACH-less handover, and PUSCH procedures."
9.2.3,Rel-19,Enhancements for 3-antenna-port uplink transmissions,"Discussion on SRS antenna switching configurations, UE capability signaling, and non-codebook transmission support for 3Tx UEs"
8.1,Rel-18,MBS Enhancement Maintenance,"Endorsement of CRs for TS 38.211/214/212 alignment including PDSCH scrambling differentiation, DCI format 4_0 corrections, and RateMatchPatternLTE-CRS configurations"
9.2.3,,Discussion on 3-antenna-port uplink transmissions,"Discussions on codebook/non-codebook-based transmissions, SRS antenna switching, and UE capability signaling for 3Tx configurations."
9.1.3,3GPP Release 18,CSI feedback enhancement for AI/ML-based prediction,Standardization of performance monitoring mechanisms and evaluation methodologies for UE-sided CSI prediction models
9.2.2,Release 19,CSI Enhancements,"Discussion on remaining issues for Release 19 CSI enhancements including codebook refinements, CRI-based reporting, and CJT calibration mechanisms"
NR_cov_enh-Core,Rel-18,DMRS bundling enhancements for non-back-to-back transmission,Discussion of UE behavior requirements for maintaining phase continuity in non-consecutive transmissions
9.4.2.3,3GPP,Remaining details of physical channels/signals for AIoT,"Discussion on R2D/D2R channel design, synchronization, and control signaling for ambient IoT devices."
9.1.3.2,Release 19,AI/ML for CSI Compression,"Study of AI/ML-based CSI compression enhancements including temporal domain aspects, localized models, inter-vendor collaboration issues, and monitoring methods for Release 19"
R1-2406956,Rel-18,TS 38.214 Corrections for Positioning,"Discussion of parameter alignment in bandwidth aggregation, SRS configuration for RedCap, and SL PRS procedure corrections"
8.3,Rel-18,Expanded and Improved NR Positioning,Maintenance and enhancement of NR positioning features including sidelink and carrier phase positioning
9.11.3,Rel-19,Discussion on uplink capacity/throughput enhancement for FR1-NTN,"Evaluation of OCC techniques for PUSCH in NTN scenarios, including specification impacts on RV cycling, TBS determination, UCI multiplexing, and performance comparisons between inter-slot vs intra-symbol OCC schemes"
5.2.2.5.1,,UE assumptions for CQI/PMI/RI calculation,Clarification of power offset assumptions in Type 1 SD adaptation
9.6.1,3GPP Release 18,LP-WUS and LP-SS Design,Discussion and decision-making on physical layer aspects of Low-Power Wake-Up Signals and Synchronization Signals
9.1.4.1,Rel-18,Unified TCI Framework Extension,Discussion on S-DCI based MTRP enhancements for Rel-18
9.7.1,Rel-19,Deployment scenarios for integrated sensing and communication with NR,"Study on channel modelling aspects for Integrated Sensing and Communication (ISAC) in NR systems, focusing on deployment scenarios and physics-based channel modelling approaches."
9.7.2,Rel-19,ISAC Channel Model,"Discussion on channel modeling requirements for Integrated Sensing and Communication (ISAC) in NR, including target modeling, RCS characterization, and spatial consistency calibration"
8.1,Rel18,Discussion on correction to semi-persistent configuration of UL SRS in 38.214,Addressing SP SRS configuration validity in non-active BWP scenarios including RRC INACTIVE state and Tx hopping
9.4.2.4,Rel-18,Carrier-wave characteristics for Ambient IoT,"Discussion on CW transmission topologies, interference management, and resource allocation mechanisms for Ambient IoT systems"
RAN2#125bis-9,Rel-18,CSI Reporting Procedures,Modification of CSI triggering restrictions for SL CA operation
9.11,Release-19,NR NTN Phase 3 Enhancements,"Discussion of work plan for Release 19 NR-NTN enhancements including coverage improvements, capacity enhancements, and architectural support"
9.4.2.4,Rel-19 A-IoT,Study on solutions for Ambient IoT in NR,"Evaluates carrier-wave waveform characteristics for Ambient IoT devices, including interference handling and backscattering performance. Proposes studies on single/multi-tone waveforms, transmission scenarios, and regulatory considerations."
9.1.3.3,Rel-19,Study on other aspects of AI/ML model and data,"Discussion on model identification procedures, model transfer/delivery mechanisms, and UE-sided training data collection for AI/ML in NR."
9.6.1,,LP-WUS,Low-Power Wake-Up Signal enhancements for IoT devices
P9,Rel-18,CFRA enhancements for NTN,Discussion of MAC-CE triggered random access procedures in non-terrestrial networks
8.2.2,Rel-18,UE features for other Rel-18 work items (Topics B),"Discussion of UE capability signaling requirements for NES, MIMO 8Tx, NTN IoT, and expanded positioning features."
9.3.1,Release 18,Evolution of NR Duplex Operation,"Specification of SBFD operation including TX/RX behaviors, measurement procedures, and coexistence mechanisms"
9.1.2,Rel-19,AI/ML for NR Air Interface,"Discussion on AI/ML techniques for enhancing positioning accuracy in NR, including model lifecycle management and measurement specifications."
9.1.2,3GPP Release 19,AI/ML for NR Air Interface - Positioning,"Discussion on framework and specification support for AI/ML-based positioning enhancements, including prioritization of use cases, data collection mechanisms, and measurement reporting."
UNSPECIFIED,Rel-18,Rel-18 RAN1 UE Features Finalization,Discussion of LTE UE features list for IoT NTN enhancements in Release 18
NR_pos_enh2-Core,Rel-18,NR Positioning Enhancement Corrections,Discussion and approval of corrections to NR positioning enhancements in TS 38.212 for Release 18.
9.4.1.1,Rel-19,Ambient IoT Evaluation,"Evaluation of Ambient IoT solutions including coverage, latency definitions, and multi-device performance metrics"
9.5.1,Rel-19,On-demand SSB Operation Enhancements,Discussion of energy-efficient SSB transmission patterns and activation mechanisms for SCells in carrier aggregation scenarios
9.8.2,NR,Channel model enhancements for 7-24GHz,"Study on near-field propagation effects and spatial non-stationarity modeling for frequencies between 7-24 GHz, including validation and extension of TR 38.901 parameters"
9.6.2,Rel-19,LP-WUS Operation in IDLE/INACTIVE Modes,"Discussion of wake-up signal configurations, synchronization requirements, and measurement offloading mechanisms for power-constrained devices"
9.2.4,Rel-19,Enhancement for asymmetric DL sTRP/UL mTRP scenarios,"Discussion of UL MTRP schemes, TCI framework applicability, and power control enhancements for asymmetric deployments"
Unknown,,Power Control Enhancements for NTN,Discussion of UL power control mechanisms for RACH-less handover in NTN deployments
9.2.3,Release 19,FL Summary Support for 3TX CB-based Uplink; Second Round,"Discussions on finalizing specifications for 3TX non-coherent codebook-based uplink transmissions, including SRS/PTRS configurations, TPMI frameworks, and performance evaluation."
9.2.1,Rel-19,UE-initiated/event-driven beam management,"Discussion on specifications for UE-initiated beam reporting procedures including trigger events, reporting contents, and UL signaling mechanisms."
9.4.2.3,Rel-19,Downlink and uplink transmission aspects,"Discussion on PRDCH/PDRCH design, synchronization, resource allocation, and device capabilities for A-IoT."
9.10.1,Release 19,Enabling Tx/Rx for XR during RRM measurements,"Discusses mechanisms to allow XR data transmission/reception during RRM measurement gaps, addressing latency challenges caused by restricted scheduling."
9.2.2,Rel-19,CSI Enhancements,Discussion on enhancements for CSI reporting including codebook extensions for 128 ports and non-ideal CJT deployments
9.4.2.3,Release 19,Downlink and Uplink Channels/Signals for A-IoT,"Discussion on physical layer design aspects for Ambient IoT, including control signaling, resource allocation, and intermediate UE configurations."
9.4.2.4,R19,Waveform characteristics of carrier-wave for A-IoT,Prioritization of CW transmission cases (Case 1-4 and 2-4) and waveform design (single/multi-tone) for D2R backscattering in A-IoT.
9.6.1,Release 18,LP-WUS and LP-SS design,"Discussion on waveform selection, resource allocation, and performance requirements for low-power wake-up and synchronization signals in NR."
5,Rel-18,CSI-RS/SRS for spatial relation in RRC_INACTIVE,"Discussion on spatial relation sources for SP-SRS activation in RRC_INACTIVE state, including validity area considerations and MAC CE design implications"
8.12.5,Rel-18,UE Features for eRedCap,"Discussion on Rel-18 eRedCap UE capabilities, including MBS support, PRB limitations, and modifications to FGs 48-1/48-2."
9.4.2.4,Rel-19,External carrier wave for Ambient IoT,"Discussion on carrier wave characteristics, interference handling, and topology impacts for Ambient IoT."
9.5.3,Rel-19,Adaptation of common signal/channel transmissions,Discussion on mechanisms for dynamic adaptation of SSB/PRACH/paging transmissions to optimize network energy efficiency while maintaining UE accessibility
45-1a,Release 18,Inter-frequency L1 measurements for LTM,Discussion on prerequisites and configuration of inter-frequency L1 measurements for L1-L2 Triggered Mobility.
9.1.1,Rel-19,Specification Support for AI/ML in Beam Management,"Discussion on standardization requirements for AI/ML-based beam management features in Release 19, including UE/NW model configurations, training data collection, and performance monitoring mechanisms."
9.1.4.2,Rel-19,Other aspects of AI/ML for two-sided model use case,"Discussion on model identification procedures, dataset transfer (MI-Option2), and model transfer/delivery Case z4 for two-sided CSI compression models."
CR-xxxx,Rel-18,Beam Collision Resolution in MTRP,CR discussion on UE behavior for PDCCH/PDSCH beam prioritization in M-DCI MTRP with short scheduling offsets
5,Rel-19,Discussion on the reply of LS on OCC for CB-msg3 NPUSCH,"Evaluation of RAN2's query regarding OCC applicability to CB-msg3 NPUSCH in IDLE state, considering technical challenges like DMRS design, signaling, and collision scenarios."
9.5.3,Rel-19,Adaptation of common signal/channel transmissions for NES,"Discussion of mechanisms to dynamically adjust transmission patterns of SSB, PRACH and paging signals to enable network energy savings while maintaining connectivity"
9.1,Rel-19,Artificial Intelligence (AI)/Machine Learning (ML) for NR Air Interface,"Discussions on AI/ML applications including beam management, positioning accuracy, CSI prediction/compression, and model/data handling."
9.4.2.1,Rel-19,General aspects of Ambient IoT physical layer design,"Study physical layer aspects including frame structure, synchronization, numerologies, waveforms, channel coding, and resource management for Ambient IoT. Ensures compliance with TR 38.848 functionalities."
9.4.2.1,Rel-19,General aspects of Ambient IoT physical layer,"Study of physical layer solutions for Ambient IoT, including waveform design (OOK, OFDM), CP handling, synchronization, and multiple access techniques for ultra-low-power devices."
9.6.1,Rel-19,LP-WUS/LP-SS Design,"Discussion and decision on waveform design, sequence configuration, and synchronization aspects for NR power saving enhancements"
8.10,Release 18,Maintenance on coverage enhancement for NR NTN,"Discussions on PUCCH repetition procedures, DMRS bundling enhancements, and TA pre-compensation restrictions for NTN coverage improvement in Rel-18."
5,Release 19,AI/ML-based Positioning,Discussion on data collection requirements for ML model training and inference in 5GC direct positioning
9.2.1,Rel-19,UE-initiated/event-driven beam management,"Discussion of trigger events, UL signaling contents, and procedures for proactive beam reporting"
5,Rel-19,Discussion on LS on applicable functionality reporting for beam management UE-sided model,"Addresses RAN2's questions on granularity, NW-side conditions, and activation procedures for UE-sided AI/ML models in beam management."
9.11.1,Release 19,Performance evaluation of downlink coverage enhancement for NR NTN,"Evaluation of system-level beam scheduling schemes and link-level channel performance for NTN coverage enhancement, including beam hopping and power control proposals."
8.1,Release 18,Active semi-persistent SRS resource,Discussion on handling semi-persistent SRS outside active UL BWP and potential conflicts in TS 38.214 specifications.
8.3,Rel-18,Maintenance on Multi-Carrier Enhancements for NR,"Discussion of remaining issues for single-DCI multi-cell scheduling including processing time requirements, cell determination logic, and HARQ-ACK codebook enhancements"
9.7.2,Rel-19,ISAC channel modelling,"Discussion on channel modeling framework for integrated sensing/communication systems covering propagation scenarios, RCS modeling, spatial consistency, and validation approaches"
9.1.1,Release 19,AI/ML for Beam Management,"Discussion on standardization requirements for AI/ML-based beam prediction including spatial/temporal prediction, TCI framework enhancements, and integration with beam failure recovery procedures."
8.3,Rel-18,Expanded and Improved NR Positioning,Discussion of enhancements for NR positioning functionality including carrier phase measurements and SRS aggregation improvements
9.4.2.3,Rel-18,Downlink and uplink channels aspects of Ambient IoT,"Discussion on physical channel designs for ultra-low complexity Ambient IoT devices including R2D/D2R structures, multiplexing schemes, and proximity determination mechanisms"
8.1,Rel-18,Corrections to SSB-RO association for LTM in TS38.213,"Discussion on clarifying UE procedures for determining SSB-to-RACH occasion mapping during early uplink synchronization, focusing on parameter ssb-PerRACH-Occasion-r18 in EarlyUL-SyncConfig."
9.1.3,NR Release 18/19,AI/ML for CSI Prediction,"Discussion on consistency mechanisms for UE-sided AI/ML models in CSI prediction, focusing on associated ID configuration and framework integration"
9.2.4,Rel-19,Enhancements for asymmetric DL sTRP/UL mTRP,Specification of pathloss offset configurations and SRS CLPC enhancements for intra-band intra-DU non-co-located UL mTRP scenarios under Rel-17/18 unified TCI framework.
9.2.5,Rel-16,UE procedure for reporting multiple UCI types,Clarification of timeline conditions for UCI multiplexing during HARQ-ACK overriding procedures.
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,"Discussion of mechanisms for UE-triggered SIB1 transmission to enable network energy savings, including NES cell identification, PRACH resource allocation, and PDCCH monitoring configurations"
8.1,Rel-18,Maintenance on Rel-18 NR NTN,"Discussion of five maintenance issues for NR NTN including specification alignment, timing adjustments, and parameter corrections."
9.3.1,Rel-19,SBFD Transmission/Reception Procedures,Specification of UE behaviors and configuration mechanisms for subband full duplex operation
NR_pos_enh2-Core,,Measurement Definitions for Positioning,Discussion on positioning measurement requirements with bandwidth aggregation
7.1,Rel-16,Multiplexing/Prioritization for PUSCH without TB,Discussion on handling PUSCH transmissions without transport blocks in prioritization/multiplexing procedures
9.7.2,3GPP Release 18,ISAC Channel Modeling,"Discussion on channel modeling aspects for Integrated Sensing and Communication, including LOS/NLOS determination, scattering point modeling, and RCS characterization."
9.2.3,Rel-19,Support for 3Tx UL MIMO,"Discussion on uplink MIMO enhancements for 3-antenna UEs including codebook design, TPMI indication, and antenna switching configurations"
9.1.4.1,Rel-18,Type 1 LBT Blocking Mitigation,Clarification on resource selection constraints for inter-UE blocking scenarios in NR sidelink
9.4.2.3,R19,DL and UL channel/signal,Downlink and uplink channel/signal design for A-IoT.
9.2.1,Release 19,NR MIMO Phase 5 Enhancements,Discussion of UE-initiated beam management mechanisms for FR2 and sTRP scenarios
9.4.1.1,,A-IoT Evaluations,Coverage targets and device architecture evaluations for Ambient IoT
Sidelink_CoConfig,,Sidelink Feature Co-configuration,Discussion on UE capability limitations for sidelink feature combinations in Rel-18
9.8.2,3GPP,7-24GHz channel model extension,Discussion on near-field propagation modeling and spatial non-stationarity characteristics for high-frequency channel models
8.1,Rel-18,Maintenance of Rel-18 MIMO on unified TCI extension,"Discussion on editorial corrections, TCI framework clarifications, and UL power control enhancements for Rel-18 MIMO specifications"
9.11.3,NR Phase 3 NTN,Discussion on UL capacity enhancement for NR NTN,"Evaluation of OCC techniques (inter-slot, inter-symbol, intra-symbol) for improving UL capacity in NTN, including simulation results and proposals for standardization."
8.4.4,Rel-18,SL PRS reception procedure,Discussion of enhancements to sidelink positioning reference signal reception and measurement reporting procedures
9.1.4.2,Rel-19,AI/ML Model Framework,"Discussion on model identification procedures, model transfer mechanisms, and UE data collection for AI/ML-based air interface enhancements"
9.2.1,Rel-18,Enhancements for UE-initiated/event-driven beam management,"Discussion of beam reporting mechanisms including trigger conditions, measurement configurations, and uplink signaling procedures"
9.1.3.1,Release 19,AI/ML-based CSI prediction,"Normative work on AI/ML for NR Air Interface focusing on CSI enhancement through prediction accuracy improvements, configuration adaptability, and model monitoring metrics"
9.8.2,3GPP Release 18,Channel model adaptation and extension,Discussion on near-field propagation modeling and spatial non-stationarity characteristics for 7-24 GHz frequency range
9.5.3,Rel-19,Discussion on adaptation of common signal and channel transmissions,"Discussion on mechanisms for SSB and PRACH adaptation to optimize network energy consumption, including SSB burst periodicity adjustments, non-uniform PRACH resource allocation, and handling legacy UE impacts."
9.6.2,NR Rel-19,LP-WUR Operation in Idle and Inactive Modes,"Discusses LP-WUS configuration, synchronization (LP-SS), RRM relaxation, and procedures for UE subgrouping in idle/inactive modes."
9.1.3.3,Rel-19,AI/ML Model and Data Aspects,"Discussion on model identification, consistency in training/inference conditions, performance monitoring, and model transfer frameworks for Rel-19 AI/ML specifications."
9.13,Rel-19,Rel-19 TEI Related Discussion,Discussion and decision-making for 20 proposed TEIs covering PHY layer enhancements
9.6.1,Rel-19,LP-WUS and LP-SS Design,"Discussion on waveform design, coverage targets, and optimization priorities for LP-WUS/LP-SS in Rel-19 NR."
9.4.2.4,Rel-19,CW waveform characteristics for A-IoT,"Discussion on unmodulated single-tone/multi-tone waveforms, D2R performance, spectrum efficiency, and interference handling."
NR_SL_enh2-Core,,SL-U COT sharing flag correction,Discussion on alignment of COT sharing flag field conditions in SCI formats with RAN1 agreements.
9.1.3.1,Rel-19,Discussion on AI/ML for CSI prediction,"Study specification impacts for AI/ML-based CSI prediction enhancements, including data collection, performance monitoring, and LCM."
9.5.1,Release 19,On-demand SSB operation for Scell,"Discussion on procedures and signaling methods for on-demand SSB SCell operation to improve network energy savings, including configuration, triggering mechanisms, and measurement frameworks."
9.5.3,Release 19,Adaptation of common signal/channel transmissions,Study of time-domain adaptation for SSB/PRACH/paging with legacy UE compatibility constraints
9.7.1,Release 18,ISAC Deployment Scenarios,Discussion on channel modeling aspects for Integrated Sensing And Communication (ISAC) deployment scenarios
9.11.4,Release 19,UL capacity enhancement for IoT NTN,"Discussion on OCC schemes for NPUSCH format 1 (single/multi-tone) and NPRACH, including DMRS enhancements, signaling configurations, and standardization impacts."
9.1.3.3,Rel-19,Other aspects of AI/ML Model and Data,"Discusses model identification (online/offline), transfer/delivery tradeoffs, and UE data collection mechanisms for AI/ML-enabled NR features."
9.6.1,Rel-18,LP-WUS and LP-SS design,"Discussion on waveform design, bandwidth allocation, modulation schemes and performance tradeoffs for wake-up signals in NR"
9.1.3.1,Release 19,AIML for CSI Prediction,"Rel-19 study on UE-sided AI models for CSI prediction including performance evaluation, data collection mechanisms, and specification impacts"
9.1.2,Rel-19,AI/ML-based Positioning Enhancements,"Discussion on specification support for AI/ML-based positioning including measurement reporting, model input types, and lifecycle management operations"
9.4.2.1,Release 19,Study on general aspects of physical layer design for Ambient IoT,"Evaluation of waveform, modulation, line coding, channel coding, numerology, bandwidth, and multiple access schemes for Ambient IoT devices in NR."
9.11.2,Rel-19,Support of RedCap and eRedCap UEs with NR NTN,"Enhancements for mitigating TA mismatch-induced collisions in HD-FDD UEs, focusing on semi-static/dynamic DL/UL collision handling."
NR_cov_enh2,,Enhancements to realize increasing UE power high limit,Discussion on UE power reporting requirements and specifications for CA/DC configurations.
4.5,Rel-18,Sidelink Channel Access Procedures,Maintenance updates for channel access mechanisms in shared spectrum operation
9.7,3GPP Release 18,Proposed work plan on channel modelling for ISAC,"Discussion and endorsement of the work plan for the SI on ISAC channel modeling, including scenario identification, methodology (slow/fast fading, spatial consistency), and calibration milestones."
9.2.2,Rel-19,CSI Enhancements for MIMO,Enhancements for CSI feedback supporting up to 128 CSI-RS ports and CJT calibration
9.6.1,Rel-18/19,LP-WUS/LP-SS Design,"Discussion on physical layer structures for LP-WUS and LP-SS, including waveform selection (OOK-1/OOK-4), payload size, synchronization, and bandwidth configuration, aligned with WID objectives in RP-234056."
9.7.1,Rel-19,Rel-19 ISAC Deployment Scenarios,"Discussion on channel modeling and deployment scenarios for Integrated Sensing and Communication, focusing on evaluation parameters for different target types."
9.11.1,Release 19,NR-NTN Downlink Coverage Enhancement,"Discussion on system-level (SSB periodicity extension, beam hopping) and link-level (PDCCH/PDSCH enhancements) techniques to improve downlink coverage in NTN."
5,Rel-19,DL Coverage Enhancement,"Discussion on system/link-level improvements for NR NTN, including SSB periodicity extension, beam hopping, and RAN2 coordination."
8.4,Rel-18,CSI enhancements for MU-MIMO and multi-TRP,Discussion of CSI reporting improvements including spatial/power domain adaptation and resource counting mechanisms
9.5.2,Release 19,Enhancements of network energy savings for NR,Discussion on procedures and signaling methods for on-demand SIB1 transmission to idle/inactive UEs.
9.3.2,Rel-19,SBFD random access operation,"Discussion of sub-band full duplex enhancements for random access procedures including RACH configuration options, PRACH repetition mechanisms, and msg2/msg3/msg4 optimizations"
9.4.2.3,Rel-19,Downlink and uplink channel/signal aspects,Discussion on PHY-layer channel design for R2D/D2R control and data transmission in Ambient IoT.
9.7.1,Rel-19,ISAC Deployment Scenarios,Discussion and decision on channel modeling parameters for integrated sensing and communication deployment scenarios
9.8,Release 19,Data source descriptions for 7–24 GHz SI,"Discussion on measurement/simulation data collection for validating and extending TR38.901 channel models in 7-24 GHz, addressing near-field propagation and spatial non-stationarity."
9.6.2,R19,LP-WUS operation in IDLE/INACTIVE modes,Discussion on wake-up signal optimizations for UE power savings in idle/inactive states.
8.5.2,Rel-18,UE features for TEIs,"Discussion on updates to UE feature groups for TEI18, including SR periodicities, PRS, HARQ multiplexing, and PDCCH monitoring."
21,Rel-18,L1/L2-triggered mobility procedures,Discussion of UE behavior during MAC-controlled cell switch operations
8.12.4,Rel-18,UE features for MC enhancements,"Discussion and decision-making on UE capability features for multi-carrier enhancements including DCI formats, scheduling mechanisms, and HARQ feedback configurations"
9.5.1,Rel-19,On-demand SSB SCell operation,"Discussion on procedures and signaling methods for UE-triggered SSB activation, DCI vs MAC CE signaling trade-offs, and support for CD-SSB on sync-raster."
9.11,Release-19,NR NTN Phase 3 Work Plan,"Discussion of enhancements for NTN downlink coverage, uplink capacity, regenerative payloads, and RedCap UE support."
9.6.2,,LP-WUS operation in IDLE/INACTIVE modes,"Discussion on wake-up signal configuration, UE grouping strategies, and measurement procedures for energy-efficient paging"
9.5.3,Rel-19,Adaptation of common signal/channel transmissions,"Discussion of SSB, PRACH, and paging adaptation mechanisms for network energy savings in Rel-19."
8.12.2,Rel-18,UE features for NR sidelink evolution,"Discussion of 21 feature groups for NR sidelink enhancements including unlicensed spectrum operation, co-channel coexistence, and carrier aggregation"
R1-2401943,,Parallel Tx Capability,Clarify applicability of UE parallel transmission capabilities to CA and NR-DC scenarios.
9.3.2,Rel-19,SBFD Enhancements,Discussion on random access procedure enhancements for sub-band full duplex operation
9.12.1,Rel-19,Multi-cell scheduling enhancements,Discussion on technical specifications for multi-cell scheduling using single DCI in Rel-19
9.1.1,Rel-19,AI/ML-based Beam Management,"Discussion of specification impacts for NW-side and UE-side AI models, including beam reporting enhancements, TCI framework modifications, performance monitoring mechanisms, and training/inference consistency requirements"
8.4,NR Mobility Enhancements,Maintenance on Further NR Mobility Enhancements,"Discussion and finalization of Change Requests (CRs) for NR mobility enhancements, including power allocation, timing assumptions, TCI state management, and PRACH handling."
10.1,,UE procedure for determining PDCCH assignment,Discussion of search space configuration updates for SDT operation
9.1.4.1,,NTN Measurement Enhancements,Discussion on uplink measurement reference points for satellite networks
9.4.2.1,3GPP Release 18,General aspects of physical layer design for Ambient IoT,"Discussion of multiple access methods, bandwidth configurations, encoding schemes, and waveform design for Ambient IoT devices"
5,Rel-18,CG RACH-less Handover Parameter Configuration,Analysis of RRC parameters from CG-SDT applicable to Rel-18 CG-based RACH-less handover
NR_Pos_enh2-Core,Rel-18,NR Positioning Enhancements,Enhancements for DL positioning measurements in idle/inactive states
8.1,Rel-18,Multi-carrier UL Tx switching scheme,"Discussion on configuration scenarios for 1T-1T switching with 2 bands, alignment of RAN2/RAN1 specifications, and switching gap parameter clarifications."
6.3.1.1.2,Rel-17,CSI Reporting Configuration,Discussion on reportQuantity configurations for SS/PBCH blocks and CSI-RS resources in TS 38.212.
9.6.3,Release 18,LP-WUS Operation in CONNECTED Mode,"Discussion on connected-mode LP-WUS enhancements for UE power saving, including signal design tradeoffs and resource allocation."
8.6,Rel-18,Maintenance of Further NR Coverage Enhancements,"Discussion on PRACH transmission rules, power domain enhancements, and dynamic waveform switching specifications for NR coverage."
5,R19,UL synchronization for contention-based transmission,Discussion on timing accuracy requirements for Msg3 transmission without preceding random access messages
9.4.2.2,Rel-19,Frame Structure and Timing Aspects,"Discussion of energy harvesting impacts, device synchronization, and TDMA transmission for Ambient IoT."
9.4.1.2,2024,Ambient IoT Device Architecture,"Discussion on RF BPFs, frequency shifters, and deployment constraints for Ambient IoT devices."
17.1,Rel-17,RedCap UE Procedures,Discussion of corrections to RedCap UE initial BWP configuration procedures in TS 38.213
9.2.1,Rel-18,Enhancements for UE-initiated/event-driven beam management,Discussion on reducing latency and overhead in beam management through UE-initiated procedures
9.4.2.2,Rel-19,Frame structure and timing aspects for AIoT,Discussion on synchronization mechanisms for ultra-low-power AIoT devices in R2D/D2R communications
9.2.4,Rel-18,Asymmetric DL sTRP/UL mTRP deployment enhancements,"Specification of enhancements for asymmetric DL single-TRP/UL multi-TRP scenarios, focusing on TCI framework adjustments, power control, and pathloss offset configurations."
9.2.1,Rel-19,Enhancements for UE-initiated/event-driven beam management,"Discussion on beam reporting triggers, measurement quantities, and signaling mechanisms for UE-initiated beam management"
9.2.1,Rel-19,UE-Initiated/Event-Driven Beam Management,"Discussion on trigger-event detection, UL signaling mechanisms, and procedural enhancements for beam management in Rel-19."
9.1,,Artificial Intelligence (AI)/Machine Learning (ML) for NR Air Interface,"Specification support for beam management, positioning accuracy, CSI prediction, and additional studies on CSI compression/model data."
P9,Rel-18,CFRA triggering via MAC CE,Implementation of RAN2 agreements about MAC-CE triggered CFRA resources for LTM cell switching
9.2.4,Rel-19,Enhancement for asymmetric DL sTRP and UL mTRP scenarios,"Discussion on power control, beam management, and signaling enhancements for deployments with asymmetric TRP activity"
Unknown,,CSI-RS/SRS for spatial relation in RRC_INACTIVE,Discussion on spatial relation RS configuration for SRS in RRC_INACTIVE state.
Rel-19_SBFD,,SBFD Random Access Enhancements,"Discussion on RACH configuration options, valid RO definitions, SSB-to-RO mapping, and PRACH repetition for SBFD-aware UEs in connected/idle modes."
7.1,Rel-16/17/18,Timeline issue for UCI multiplexing during HARQ-ACK overriding,Discussion on UE processing timeline constraints when overriding HARQ-ACK transmissions with dynamically scheduled PUCCH.
NR_Mob_enh2-Core,,SSB-RO Association Corrections,Discussion of CR 0691 addressing SSB-RO mapping procedures for LTM in TS 38.213
NR_MIMO_evo_DL_UL-Core,Rel-18,Parameter name alignment on 8Tx PUSCH,Alignment of parameter names between TS 38.214 and TS 38.331 for 8Tx PUSCH configurations to resolve inconsistencies introduced by RAN2 updates.
9.6.3,Rel-18,LP-WUS operation in CONNECTED modes,"Discussion on procedures for LP-WUS-triggered PDCCH monitoring in RRC CONNECTED mode, including activation/deactivation mechanisms and coexistence with legacy C-DRX."
9.3.3,Rel-19,Discussion on CLI handling for Rel-19 NR duplex,"Evaluation and selection of CLI mitigation schemes for SBFD operation, focusing on gNB-gNB and UE-UE interference handling methods."
9.2.1,Release 19,UE-initiated/event-driven beam management enhancements,Specification of procedures and configurations for event-driven beam reporting to enable fast beam switching in FR2/sTRP deployments.
9.5.2,Release 19,On-demand SIB1 for idle/inactive mode UEs,"Study of UL WUS configuration options, triggering conditions, and SIB1 transmission procedures for network energy saving"
9.7.1,Rel-18,ISAC Deployment Scenarios,"Evaluation parameters for ISAC deployment scenarios including human indoor/outdoor, UAV, and AV environments."
