contributor_name,doc_id,contribution_type
Panasonic,R1-2401038,Discussion
EURECOM,R1-2406048,Discussion and Decision
Spreadtrum Communications,R1-2407698,Technical Contribution
vivo,R1-2400252,Discussion and Decision
MediaTek Inc.,R1-2402937,Discussion
Sanechips,R1-2400495,Implementation Considerations
vivo,R1-2402206,Reply LS
CMCC,R1-2407474,Session Notes
NEC,R1-2404654,Discussion input
ZTE,R1-2404229,Discussion/Proposal
Ericsson,R1-2403989,Technical Analysis and Proposals
CEWiT,R1-2405242,Technical Contribution
Intel Corporation,R1-2400382,Technical Proposal
LG Electronics,R1-2401328,Source
Samsung,R1-2400718,Technical proposal
Intel Corporation,R1-2408294,Technical Contribution
Nokia,R1-2405176,Discussion and Decision
ETRI,R1-2401229,Discussion document
HiSilicon,R1-2409422,Discussion and Decision
Fujitsu,R1-2404591,Discussion Document
Huawei,R1-2403341,Discussion and Decision
CATT,R1-2408059,Technical Contribution
Hiroki Harada,R1-2401824,Contact Person
vivo,R1-2404141,Source
"NTT DOCOMO, INC.",R1-2401499,Moderator
"Huawei, HiSilicon",R1-2403358,Change Request
HiSilicon,R1-2409406,System Simulations
Vodafone,R1-2405213,Discussion
Wiliot,R1-2408355,Source/Technical Analysis
Ericsson,R1-2409990,Technical Proposal
Sony,R1-2403719,Moderator
Jingzhou Wu,R4-2403086,Contact Person
OPPO,R1-2410099,Contribution
Apple,R1-2408478,Contribution
Sony,R1-2406481,Technical Contribution
Sony,R1-2407563,Moderator
vivo,R1-2410829,Discussion Participant
"NTT DOCOMO, INC.",R1-2406932,Discussion and Decision
ETRI,R1-2403010,Technical Proposal
Vodafone,R1-2401253,Discussion
Apple Inc.,R1-2400991,Technical Proposal
Inmarsat,R1-2407138,Source
Nokia,R1-2404909,Draft LS Reply
CATT,R1-2402707,Source to WG
CATT,R1-2404385,Technical Proposal
CATT,R1-2409083,Moderator Summary
Nokia Shanghai Bell,R1-2403080,Source
MediaTek Inc.,R1-2401307,Discussion Document
ETRI,R1-2406727,Source
Huawei,R1-2403934,Technical Proposal
BUPT,R1-2400054,Technical Analysis
Sanechips,R1-2400484,Source
LG Electronics,R1-2403122,Technical Analysis
Ericsson,R1-2405461,Moderator
TCL,R1-2403038,Contribution
LG Electronics,R1-2406608,Technical Proposal
Nordic Semiconductor ASA,R1-2405254,Discussion and Decision
ZTE,R1-2400492,Discussion and decision
CMCC,R1-2405375,Moderator Summary
Intel,R1-2410865,Technical Contribution
OPPO,R1-2406237,Discussion and Decision
vivo,R1-2407840,CR Proposal
ZTE,R1-2404560,Technical Analysis
Nokia,R1-2403286,Technical Contribution
Apple Inc.,R1-2406853,Moderator
Sanechips,R1-2409723,Technical Analysis
"InterDigital, Inc.",R1-2405877,Discussion and Decision
Sanechips,R1-2405367,CR Proposal
Huawei,R1-2403925,Measurement data analysis and proposal
MediaTek Inc.,R1-2410518,Technical Contribution
Samsung,R1-2404115,Technical Contribution
Sharp,R1-2401176,Technical Contribution
HiSilicon,R1-2408174,Technical Proposal
CICTCI,R1-2409926,Technical Analysis
Samsung,R1-2405365,Technical Proposal
Ericsson,R1-2403442,Proposal on Model Update Criteria
Huawei,R1-2405332,Source
CATT,R1-2404406,Discussion/Decision Proposal
Samsung,R1-2402433,Technical proposal
Ericsson,R1-2407236,Moderator
China Academy of Telecommunications Technology,R1-2409954,Discussion
OPPO,R1-2402309,CR Source
Nokia,R1-2408544,Technical Proposal
Huawei,R1-241xxxx,Technical Comments
OPPO,R1-2408145,Technical Proposal
NEC,R1-2400465,Discussion and Decision
Ericsson,R1-2409021,Moderator
Intel,R1-2409291,Contributor
Lenovo,R1-2401497,Moderator Summary
Samsung,R1-2409579,Contribution
OPPO,R1-2408151,Technical Analysis
CATT,R1-2409919,Technical Proposal
Intel Corporation,R1-2409735,Discussion and Decision
Nokia,R1-2400796,Source
NEC,R1-2401617,Moderator Proposal
"InterDigital, Inc.",R1-2406499,Discussion Proposal
Huawei,R1-XXXXXX,Simulation Results
Sharp,R1-2401169,Discussion and Decision
CATT,R1-2406360,Technical Contribution
CBN,R1-2406338,Technical Contribution
Ericsson,R1-2402804,Technical analysis/proposal
Google,R1-2410325,Discussion/Decision Proposal
BUPT,R1-2406107,Source
MediaTek Inc.,R1-2407593,LS
CATT,R1-2408022,CR Proposal
Huawei,R1-2409146,Technical proposal
ZTE,R1-2400489,Discussion
"NTT DOCOMO, INC.",R1-2401510,Moderator Summary
ZTE,R1-2404812,Source
Ericsson,R1-2407412,Moderator
Samsung,R1-2404124,Discussion and Decision
OPPO,R1-2400619,Technical Contribution
Zhixun Tang (Ericsson),R4-2416913,Contact Person
"InterDigital, Inc.",R1-2402090,Discussion and Decision
Qualcomm,R1-2403755,Discussion
Huawei,R1-2400118,Source
Panasonic,R1-2410533,Discussion Document
Ericsson,R1-2405288,CR Proposal
"InterDigital, Inc.",R1-2409847,Technical Contribution
Samsung,R1-2403745,Discussion lead
Qualcomm Incorporated,R1-2410687,Moderator/Feature Lead
ZTE,R1-2400286,Discussion and Proposals
Intel Corporation,R1-2405588,Moderator Summary
Ericsson,R1-2403384,CR Proposal
"InterDigital, Inc.",R1-2408314,Technical Analysis
Huawei,R1-2408181,Source
"NTT DOCOMO, INC.",R1-2406948,Discussion and Decision
"NTT DOCOMO, INC.",R1-2405609,Moderator Summary
vivo,R1-2409684,Discussion and Decision
ZTE,R1-2404009,Contribution
MediaTek Inc.,R1-2410244,Discussion & Decision Proposal
LG Electronics,R1-2408683,Discussion and decision
Lenovo,R1-2404939,Technical Proposal
ITRI,R1-2401190,Contribution
CMCC,R1-2405975,Technical Proposal
Google,R1-2410324,Source
Ericsson,R1-2410309,Discussion
OPPO,R1-2409052,Moderator
CATT,R1-2402366,Discussion and Decision
ZTE Corporation,R1-2408072,Discussion and Decision
Samsung,R1-2409595,Source
CATT,R1-2406324,Technical Analysis
"NTT DOCOMO, INC.",R1-2403233,Technical Contribution
Nokia,R1-2401838,CR Proposer
Honor,R1-2400528,Discussion and Decision
Sanechips,R1-2408067,Simulation Results
Qualcomm Incorporated,R1-2403183,Technical contribution
Apple Inc.,R1-2402867,Technical Proposal
LG Electronics,R1-2404895,Technical Proposal
Sony,R1-2408404,Contribution
Samsung,R1-2402421,CR Source
HiSilicon,R1-2406975,Measurement Campaigns
Huawei,R1-2407453,Source
"Huawei, HiSilicon",R1-2403345,CR Submission
Samsung,R1-2402456,Contribution
ZTE Corporation,R1-2406124,Technical Contribution
CATT,R1-2406363,Discussion and Decision
ETRI,R1-2404769,Discussion
EURECOM,R1-2409534,Source Organization
Rakuten,R1-2404802,Technical Contribution
Ericsson,R2-2409267,Reply LS
Samsung,R1-2406652,Discussion and decision
CATT,R1-2407542,Source
NVIDIA,R1-2406491,Source
Lenovo,R1-2404529,Discussion and decision
Sharp,R1-2403667,Contributor
Thales,R1-2405395,Moderator
"NTT DOCOMO, INC.",R1-2406930,Discussion Proposal
New H3C,R1-2400153,Discussion
Honor,R1-2400524,Source
Huawei,R1-2407688,Technical Contribution
OPPO,R1-2406243,Discussion and Decision
MediaTek,R1-2403552,Moderator summary
Huawei,R1-2410604,CR Proposal
Ericsson,CR 0676 rev,Moderator
ZTE,R1-2410119,Moderator Summary
"NTT DOCOMO, INC.",R1-2408795,Technical Proposal
Toyota ITC,R1-2404912,CR Proposal
Panasonic,R1-2408531,Discussion
Apple,R1-2408470,Moderator Summary
Sanechips,R1-2402190,Co-author
Lenovo,R1-2400198,Technical Proposal
CEWiT,R1-2408930,Contribution
"Huawei, HiSilicon",R1-2403948,Source
ZTE,R1-2409290,Contributor
Qualcomm,R1-2401793,Moderator Summary
LG Electronics,R1-2408339,Discussion and Decision
Xiaomi,R1-2402673,Technical Analysis and Proposals
CMCC,R1-2406002,Discussion
Nokia Shanghai Bell,R1-2405062,Source
RUijie networks,R1-2403068,Discussion and decision
Qianxi Lu,R2-2403924,Contact Person
Fraunhofer HHI,R1-2410255,Technical Contribution
3GPP Member Company,CR-Form-v12.2,Change Proposal
CATT,R1-2408032,Source
MediaTek Inc.,R1-2410683,Moderator Summary
Sanechips,R1-2407798,Discussion/Decision
Xiaomi,R1-2409877,Discussion Contribution
Intel Corporation,R1-2406027,Technical Proposal
Transsion Holdings,R1-2409963,Discussion
ZTE Corporation,R1-2407932,Technical analysis and proposals
NEC,R1-2408216,Discussion and decision
ZTE,R1-2405521,Proposal 1
Nokia,R1-2401908,Change Request
Samsung,R1-2402449,Contribution
Qualcomm Incorporated,R1-2405508,Discussion and Decision Document
CICTCI,R1-2402361,Source
Ericsson,R1-240xxxx,Evaluation Results
Qualcomm,R1-2401608,Moderator/Proposals
Ericsson,R1-2403899,Discussion/Decision Document
Apple Inc.,R1-2410863,Moderator
"InterDigital, Inc.",R1-2408731,Technical Contribution
Spreadtrum Communications,R1-2404027,Discussion and decision
Ericsson,R1-2409731,Source
Xiaomi,R1-2406269,Technical Proposal
Qualcomm Incorporated,R1-2408873,Discussion/Decision
Rohde & Schwarz,R1-2410254,Source
Ericsson,R1-2404936,Source
OPPO,R1-2405527,Moderator
Unknown,CR-Form-v12.1,Change Request Proposal
CMCC,R1-2400339,Discussion & Decision
Vivo,R1-2405649,Technical Contribution
Qualcomm Incorporated,R1-2407033,Technical Proposal
ITL,R1-2403372,Technical Contribution
CATT,R1-2406379,Source
Google,R1-24xxxxx,Technical Contribution
Huawei,R1-2403482,Technical contribution
Ericsson,CR 38.213 0589,Change Request
ITL,R1-2403309,Source
CMCC,R1-2410847,Ad-hoc Chair
Huawei,R1-2401600,Moderator
China Telecom,R1-2407741,Discussion
LG Electronics,R1-2401336,Technical Proposal
Huawei,R1-2403461,Measurement Methodology Proposal
Samsung,R1-2406647,Source
Samsung,R1-2400706,Discussion
Huawei,R1-2400139,Technical Proposal
Samsung,R1-2406640,Technical analysis and proposals
CMCC,R1-2400333,Technical Proposal
LG Electronics,R1-2401675,Moderator Summary
3GPP RAN Working Group 1,CR-Form-v12.3-CHANGE-REQUEST-4,Technical Proposal
Fujitsu,R1-2410059,Discussion
vivo,R1-2404156,Change Request
EURECOM,R1-2409472,Discussion and decision
LG Electronics,R1-2409835,Technical Analysis
Google,R1-2402270,Technical Contribution
Apple Inc.,R1-2401027,Discussion/Decision
IIT Kanpur,R1-2408942,Source
Huawei/HiSilicon,R1-2410119,Technical Contribution
ZTE Corporation,R1-2407811,Source
"NTT DOCOMO, INC.",R1-2405740,Contributor
Spreadtrum,R1-2409624,Technical Contribution
Fraunhofer IIS,R1-2400499,Discussion
ZTE Corporation,R1-2409560,Technical Analysis
Sanechips,R1-2407811,Source
ETRI,R1-2404767,Discussion
Sanechips,R1-2410447,Contribution
ZTE Corporation,R1-2406996,Technical contribution
Samsung,R1-2406627,Discussion and Decision
CATT,R1-2408025,Change Request
RUijie networks,R1-2403323,Technical Proposal
Samsung,R1-2401535,Moderator
Futurewei,R1-2410028,Technical Proposal
MediaTek,R1-2410919,Moderator
Qualcomm Incorporated,R1-2405170,Discussion/Decision
OPPO,R1-2408142,Technical contribution
MediaTek Inc.,R1-2410517,Discussion and Decision
Qualcomm Incorporated,R1-2401434,Discussion and Decision
Samsung,R1-2405477,Source
"NTT DOCOMO, INC.",R1-2401096,Discussion and Decision
Ericsson,10565,CR Proposal
CATT,R1-2407540,Contributor
KT Corp.,R1-2403137,Discussion and decision proposal
New H3C,R1-2400159,Technical Proposal
Samsung,R1-2409581,Discussion and Decision
Fujitsu,R1-2409207,Moderator
Nokia,R1-2400922,Rapporteur
"InterDigital, Inc.",R1-2409458,Discussion
"CATT, CICTCI",R1-2407999,Source
Huawei,R1-2407243,Moderator Summary
Fujitsu,R1-2408105,Discussion and Decision
Sharp,R1-2401047,Technical Contribution
HiSilicon,R1-2409263,Source
Apple Inc.,R1-2406833,Technical Proposal
CATT,R1-2409911,Discussion document
Qualcomm Incorporated,R1-2401430,Author
vivo,R1-2400248,Discussion and Decision
MediaTek,R1-2405507,Moderator Summary
Ericsson,R1-2405598,Source
Hisilicon,R1-2405393,Technical Contribution
Futurewei,R1-2400090,Discussion/Decision Proposal
Ericsson,R1-2402592,Contribution
vivo,R1-2404162,Change Request
Huawei,R1-2410327,Technical Proposal
OPPO,R1-2407542,Source
"InterDigital, Inc.",R1-2402176,Technical Analysis
HiSilicon,R1-2400137,Source
Samsung,R1-2410797,Contributor
vivo,R1-2410672,Technical Analysis
Sharp,R1-2402736,Proposals on physical layer design
Huawei,R1-2409314,Moderator
"InterDigital, Inc.",R1-2402091,Contribution
ZTE Corporation,R1-2410449,Technical Contribution
ZTE,R1-2404246,Draft Reply LS
Nordic Semiconductor ASA,R1-2410506,Source
RUijie networks,R1-2406594,Technical Proposal
MediaTek Inc.,R1-2409204,Moderator Summary
Huawei,38.214 CR 0524,Moderator
MediaTek,R1-2401662,Moderator Summary
Apple Inc.,R1-2409801,Technical Proposal
vivo,R1-2404180,Contribution
MediaTek Inc.,R1-2402950,Proposal
Nokia Shanghai Bell,R1-2400182,Discussion and Decision
vivo,R1-2407877,Discussion and Decision
CATT,R1-2407219,Moderator Summary
CMCC,R1-2409495,Discussion & Decision
Sony,R1-2410216,Technical Contribution
CICTCI,R1-2400759,Discussion/Decision
Ericsson,R1-2400079,Discussion/Decision
Ericsson,R1-2401971,Source
Huawei,R1-2407675,Discussion and Decision
MediaTek Inc.,R1-2410514,Technical Analysis and Proposals
MediaTek Inc.,R1-2410521,Technical Proposal
CMCC,R1-2407896,Discussion
ZTE,R1-2407415,Contributor
NEC,R1-2406545,Change Request
Nokia,R1-2406746,Technical Contribution
ZTE Corporation,R1-2407822,Discussion and Decision
Unknown Contributor,CR-Form-v12.2,Change Proposal
LG Electronics,R1-2410286,Technical Proposal
Nokia,R1-2403465,Proposal 1 (Antenna Port Reporting)
NEC,R1-2408229,Contribution
NEC,R1-2402764,Discussion and Decision
CAICT,R1-2408807,Discussion/Decision
NEC,R1-2409857,Contribution
Huawei,R1-2410702,Moderator Summary
Samsung,R1-2407309,Technical contribution
MediaTek Inc.,R1-2401310,Technical Proposal
InterDigital,R1-2405477,Moderator
"NTT DOCOMO, INC.",R1-2407374,Moderator Summary
Spreadtrum Communications,R1-2407312,Moderator Summary
ZTE Corporation,R1-2409267,Moderator
OPPO,R1-240xxxx,Technical Feedback
ZTE Corporation,R1-2406953,Technical Contribution
Qualcomm Incorporated,R1-2408840,Technical Analysis and Proposals
Ericsson,R1-2407545,Technical contributor
Qualcomm Incorporated,R1-2407026,Discussion/Decision
Xiaomi,R1-2402652,Technical Contribution
"InterDigital, Inc.",R1-2408196,Discussion and Decision
vivo,R1-2401841,CR Proposal
ZTE,R1-2402714,Moderator
Xiaomi,R1-2400570,Discussion
OPPO,R1-2405345,Moderator Summary
"NTT DOCOMO, INC.",R1-2403790,Source
Ericsson,R1-2403277,Technical Contribution
HiSilicon,R1-2403924,Technical Contribution
OPPO,R1-2400587,Contribution
"Xiaomi Communications Co., Ltd",R1-2407945,Discussion and Decision
HONOR,R1-2410174,Discussion Document
Apple Inc.,R1-2402897,Discussion/Decision
"NTT DOCOMO, INC.",R1-2401123,Technical Proposal
CATT,R1-2400440,Technical Analysis and Proposals
HiSilicon,R1-2400146,Technical Contribution
CATT,R1-2409936,Technical Proposal
"Huawei, HiSilicon",R1-2401999,Source
Nokia,R1-2409987,Discussion and Decision
Sharp,R1-2405071,Technical Proposal
Mediatek Inc.,R1-2408888,Change Request Proposal
Langbo,R1-2402528,Technical Correction
CMCC,R1-2405689,Ad-hoc Chair
"NTT DOCOMO, INC.",R1-2406928,Technical Proposal
Nokia,R1-2408740,Contribution
"InterDigital, Inc.",R1-2408278,Discussion and Decision
Huawei,R1-2401568,Moderator
Ericsson,R1-2409449,Source
Toyota ITC,R1-2404915,Discussion Document
Nokia,R1-2404223,Discussion and Decision
Samsung,R1-2401650,Moderator Summary
RAN1,R1-2401627,LS response authoring
New H3C,R1-2400157,Discussion/Decision Proposal
MediaTek Inc.,R1-2410513,Technical Analysis
"NTT DOCOMO, INC",R1-2406912,CR Source
ZTE,R1-2401601,CR submissions (x0287-x0291)
Huawei,R1-2401744,Source
Intel Corporation,R1-2403975,Technical Analysis and Proposals
Nokia,S5-246299,Technical Analysis
"NTT DOCOMO, INC.",R1-2403227,Source
vivo,R1-2406166,CR Proposal
HiSilicon,R1-2403952,Technical Proposal
Intel Corporation,R1-2401547,Moderator Summary
RAN1,R1-2409250,Reply LS
CMCC,R1-2410659,Source
Nordic Semiconductor ASA,R1-2410568,Technical Contribution
MediaTek,R1-2407206,Moderator
ETRI,R1-2410279,Contribution
Ericsson,R1-2407523,Co-author
QUECTEL,R1-2409447,Discussion
Fraunhofer HHI,R1-2407801,System Design
Fujitsu,R1-2410187,Feature Lead Summary
Apple,R1-2401022,Discussion/Decision
Ericsson,R1-2400080,Technical Analysis & Proposals
Panasonic,R1-2408602,Discussion
Huawei,R1-2403940,Technical Analysis
Apple Inc.,R1-2402863,Technical Proposal
HiSilicon,R1-2407673,Source
3GPP TSG-RAN WG1,38.214,Technical Correction
CMCC,R1-2400347,Technical Proposal
Qualcomm Incorporated,R1-2407013,Change Request
Huawei,R1-2408973,Draft CR on default QCL assumptions
Comba,R1-2401160,Technical Proposal
Qualcomm Incorporated,R1-2401461,Discussion and Decision
Sharp,R1-2410412,Discussion and Decision
OPPO,R2-2401969,Reply LS
TCL,R1-2408257,Discussion and Proposals
Apple,R1-2401018,Technical Proposal
HiSilicon,R1-2405859,Technical Contribution
ZTE,R1-2401692,Moderator
Huawei,R1-2405850,Technical Contribution
CAICT,R1-2406896,Technical Contribution
"NTT DOCOMO, INC.",R1-2409296,Moderator Summary
Panasonic,R1-2404974,Source
Sanechips,R1-2401668,Co-author
Ericsson,R1-2405490,Technical Contribution
CATT,R1-2400445,Discussion/Decision Proposal
TCL,R1-2406394,Source
Qualcomm Incorporated,R1-2407050,Contribution
Nokia,R1-2406065,Source
OPPO,R1-2404825,Technical Proposal
CMCC,R1-2404417,Source
Huawei,R1-2405327,CR Proposal
Mediatek,R1-2405701,CR Source
Qualcomm Incorporated,R1-2403206,Contribution
TCL,R1-2408242,Discussion/Decision
Nokia,R1-2400943,Proposal
CMCC,R1-2409493,Discussion & Decision
THALES,R1-240XXXX,FL Summary
Huawei,R1-2402027,Source
"Huawei, HiSilicon",R1-240XXXX,Discussion Lead
HiSilicon,R1-2402024,Source
HiSilicon,R1-2410328,contribution
CATT,R1-2409913,Technical Contribution
CATT,R1-2404728,Reply LS
Samsung,R1-2406641,Discussion and Decision
Ericsson,R1-2408584,Technical Proposal
Huawei,R1-2403946,Technical analysis and proposal
HiSilicon,R1-2405865,Co-author
ZTE,R1-2404702,Discussion/Decision
Ericsson,R1-2401671,NCD-SSB Restriction Proposal (R1-2400798)
ZTE,R1-2408317,Moderator
Ericsson,R1-2404533,Technical Analysis
ASUSTeK,R1-2405187,Discussion and Decision
"Huawei, HiSilicon",R1-2401388,Discussion and Decision Proposal
LG Electronics,R1-2408672,Technical Contribution
Vodafone,R1-2401671,Moderator Summary
Tejas Networks,R1-2405941,Source/Author
CMCC,R1-2404451,Discussion and Decision
Ericsson,R1-2406717,Technical Analysis
Qualcomm,R1-2407535,Contributor
Langbo,R1-2402532,Technical Proposal
Lenovo,R1-2406444,Discussion and Decision
Honor,R1-2404577,Technical Proposal
Qualcomm Incorporated,R1-2410482,Discussion and Decision
ZTE,R1-2401694,Moderator
vivo,R1-2407475,CR Proponent
"Huawei, HiSilicon",R1-2409395,Technical Contribution
vivo,R1-2407465,Moderator
Intel,R2-2401919,Technical Proposal
Huawei,R1-2401763,Session Chair
IIT Kanpur,R1-2408941,Technical Analysis
"InterDigital, Inc.",R1-2400909,Discussion and Decision
Huawei,R1-2409071,Moderator
Samsung,R1-2406671,Discussion and decision
Samsung,R1-2404086,Change Request
HiSilicon,R1-2402004,Discussion and Decision
Fujitsu,R1-2406310,Technical Contribution
Sony,R1-2410219,Discussion Document
vivo,R1-2404171,Discussion and Decision
Continental Automotive,R1-2404798,Technical Analysis
Sharp,R1-2410359,Discussion/Decision Document
Samsung,R1-2408637,Moderator
CATT,R1-2406370,Technical Contribution
Ericsson,R1-2407054,Technical Contribution
CATT,R1-2400431,Contribution
"InterDigital, Inc.",R1-2402175,Technical Proposal
Spreadtrum Communications,R1-2402094,Discussion and Decision
Samsung,R1-2403755,Moderator
Sharp,R1-2403297,Change Request
Huawei,R1-2403802,Change Request
CEWiT,R1-2401277,Technical Contribution
China Telecom,R1-2406098,Technical Contribution
LG Electronics,R1-2401327,Discussion Document
ETRI,R1-2401234,Discussion
ZTE,R1-240xxxx,Technical Analysis
Huawei,R1-2410867,Moderator/Proposal
ZTE,R1-2404227,Discussion and Decision
Nokia,R1-2403888,Discussion and Decision
Samsung,R1-2405660,CR Proposal
Apple Inc.,R1-2409802,Contribution
FUTUREWEI,R1-2409260,Change Request
Sony,R1-2402968,Source
ETRI,R1-2401230,Discussion
"Huawei, HiSilicon",R1-2405532,Moderator
"InterDigital, Inc.",R1-2406206,Discussion and Decision Document
Sanechips,R1-2400639,Source
CCU,R1-2408684,Discussion Document
Huawei,R1-2401767,Ad-Hoc Chair
Samsung,R1-2403807,Change Request
MediaTek,R1-2407217,Moderator Summary
LG Electronics,R1-2406613,Technical Contribution
Ericsson,38.214 CR,CR Source
Qualcomm,R1-2407430,Comments
CEWiT,R1-2405240,Technical Contribution
Korea Testing Laboratory,R1-2402715,Technical Analysis
Lenovo,R1-2409972,Discussion
Spreadtrum,R1-2409652,Technical Analysis
ZTE,R1-2405481,CR Comments
CMCC,R1-2409513,Technical Proposal
vivo,R1-2400256,Discussion and Decision
HiSilicon,R1-2407509,Source
Huawei,R1-2402034,Source
RAN WG1,R1-2404709,Change Request
CEWiT,R1-2403067,Discussion and Decision
ZTE,R1-2402710,Discussion
MediaTek,R1-2409592,Contributor
Ericsson,R4-2403654,LS Source
Xiaomi,R1-2406296,Discussion
Qualcomm,R1-2405431,Framework Lead Summary
LG Electronics,R1-2406610,Technical Contribution
LG Electronics,R1-2404890,Technical Proposal
HiSilicon,R1-2400114,Hardware Implementation
vivo,R1-2404153,Draft CR
Nokia,R1-2400965,Technical Analysis
Intel Corporation,R1-2401551,Moderator
CATT,R1-2402349,Technical Discussion
Samsung,R1-2404106,Source
Qualcomm Incorporated,R1-2403199,Technical Contribution
HiSilicon,R1-2400102,Technical Proposal
Lenovo,R1-2408203,Source
Huawei,R1-2408980,CR Author
vivo,R1-2407211,Discussion and Decision
Hyundai Motor Company,R1-2401050,Discussion and Decision
OPPO,R1-2407541,Moderator
Lenovo,R1-2402922,Source
NEC,R1-2402756,Discussion/Decision
Nokia,R1-2403325,Technical Analysis
Google,R1-2406965,Technical Contribution
MediaTek Inc.,R1-2406789,Contribution
InterDigital Inc.,R1-2404333,Technical Analysis & Proposals
CATT,R1-2404372,Source
Nokia,R1-2403737,Change Request
ZTE Corporation,R1-2402621,Discussion
"Huawei, HiSilicon",R1-2405481,CR Support
Panasonic,R1-2401034,Technical Proposal
Ericsson,R1-2400171,Technical Proposal
LG Electronics,R1-2409836,Discussion and decision
Huawei,R1-2401380,Discussion and Decision
"NTT DOCOMO, INC.",R1-2405025,Change Proposal
vivo,R1-2400246,Discussion
Ericsson,R1-2401733,Change Proposal
AT&T,R1-2400575,Source
CEWiT,R1-2408935,Technical Proposal
"ZTE, Sanechips",R1-2405524,Moderator
Fraunhofer IIS,R1-2403305,Discussion
CMCC,R1-2404456,Discussion & Decision
MediaTek Inc.,R1-2406779,Discussion
OPPO,R1-2400582,Source
Qualcomm,R1-2401682,Framework Lead (FL) Summary
Qualcomm Incorporated,R1-2407019,Technical Analysis
ETRI,R1-2406718,Discussion
ZTE Corporation,R1-2406404,Discussion
Samsung,R1-2408649,Technical Proposal
NEC,R1-2400463,Technical Proposal
Panasonic,R1-2400906,Discussion/Decision
Google,R1-2410146,Source
Ericsson,R1-2400519,Technical Proposal
HiSilicon,R1-2405316,Discussion and Decision
Nokia,R1-2403107,Measurement data analysis
Huawei,R1-2401378,Proposal
"NTT DOCOMO, INC.",R1-2405052,Discussion and decision
MediaTek Inc.,R1-2406762,Technical Proposal
Spreadtrum Communication,R1-2405907,Discussion and decision
NEC,R1-2402762,Discussion and Decision
Qualcomm Incorporated,R1-2408864,Technical Contribution
OPPO,R1-2403415,Moderator
3GPP Organizational Partners,3GPP TR 38.769,Technical Development
Qualcomm Incorporated,R1-2401438,Discussion/Decision
RAN1,R1-2408613,LS Reply
"NTT DOCOMO, INC.",R1-2403435,Moderator Summary
Ericsson,R1-2403392,CR Proposal
MediaTek Inc.,R1-2401293,Contribution
vivo,R1-2406193,LP-WUS/LP-SS design proposals
HiSilicon,R1-2402014,Co-contributor
Sony,R1-2404505,Discussion and Decision Proposal
Apple Inc.,R1-2401010,Technical Proposal
Ericsson,R1-2403845,Contribution
"NTT DOCOMO, INC.",R1-2408771,Discussion and Decision
ZTE Corporation,R1-2410120,Technical Analysis
Ericsson,R1-2407058,Discussion
HONOR,R1-2408236,Discussion
Huawei,R1-2407683,Discussion Document
Huawei,R1-2406984,CR Proposal
OPPO,R1-2402314,Discussion proposal
Pengru Li,R1-2402414,Editor
RAN WG4,R4-2406679,Liaison Statement
ETRI,R1-2408569,Contribution
Huawei,R1-2403342,Technical Proposal
Samsung,R1-2410924,Liaison Statement
ZTE,R1-2403814,Proposal Submission
Samsung,R1-2403417,Proposal
Spreadtrum Communications,R1-2405901,Technical Analysis
ZTE Corporation,R1-2409478,Contribution
Fraunhofer HHI,R1-2403306,Source
Qualcomm Incorporated,R1-2403170,Technical Proposal
vivo,R1-2404163,Technical Proposal
Huawei,R1-2409138,CR Proposal
CATT,R1-2404354,Source
Ericsson,R1-2409253,Source to WG
"InterDigital, Inc.",R1-2409468,Technical Analysis
CMCC,R1-2405973,Technical Analysis
Nokia,R1-2409986,Discussion and Decision
vivo,R1-2402243,Source
CMCC,R1-2409524,Technical Analysis
Hu Dan,R1-2400033,Contact Person
Nokia,R1-2400654,Technical Analysis
Samsung,R1-24xxxxx,Overlap resolution proposals
China Telecom,R1-2400659,Contribution
"Huawei, HiSilicon",R1-2409395,Discussion on AI/ML for beam management
Ericsson,R1-2406996,Technical contribution
Sony,R1-2410226,Discussion and decision proposal
Nokia,R1-2410878,CR Support
Sanechips,R1-2404565,Technical analysis
MediaTek Inc.,R1-2401313,Discussion and Decision
vivo,R1-2409707,CR Drafting
OPPO,R1-2401573,Moderator Summary
TCL,R1-2409838,Technical Contribution
Qualcomm Incorporated,R1-2408841,Discussion/Decision
Apple,R1-2404282,Discussion/Decision
CATT,R1-2402387,Discussion and Decision
Samsung,R1-2400700,Discussion and Decision
Lenovo,R1-2408428,Technical Proposal
InterDigital Inc.,R1-2409774,Discussion Document
ASUSTeK,R1-2401200,Discussion and Decision
ZTE Corporation,R1-2409378,Technical Proposal
vivo,R1-2407859,Contribution
Qualcomm Incorporated,R1-2403178,Discussion/Decision
MediaTek Inc.,R1-240XXXX,LS Moderator
Samsung,R1-2409608,Discussion
Xiaodong Shen,R1-2403782,Contact Person
"NTT DOCOMO, INC.",R1-2403581,Source
Sony,R1-2408412,Discussion
Samsung,R1-2400743,Source
TCL,R1-2407632,Source
Intel Corporation,R1-2405358,Moderator Summary
Huawei,R1-2407245,Moderator
vivo,R1-2409681,Technical Proposal
UNISOC,R1-2409653,Technical Analysis
Sharp,R1-2403299,Discussion and Decision
Ericsson,R1-2408819,Discussion
Apple Inc.,R1-2406822,Discussion/Decision
Qualcomm Incorporated,R1-2401512,Feature Proposal
CMCC,R1-2407916,Technical Analysis
Pengcheng Laboratory,R1-2406055,Research Support
"NTT DOCOMO, INC.",R1-2410408,Discussion Paper
Sanechips,R1-2406410,Simulation Support
CATT,R1-2406375,Technical Analysis
