meeting_id,venue,wg,topic
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,FR2-NTN Enhancements
3GPP TSG-RAN WG1 #118,"Maastricht, NL",RAN WG1,ISAC Channel Modelling
RAN WG1 #119,"Orlando, US",RAN WG1,Ambient IoT device architectures
RAN WG1 #119,"Orlando, US",RAN WG1,UL capacity enhancement for IoT NTN
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 MIMO Evolution
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Rel-19 NR MIMO Enhancements
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,NR Mobility Enhancements Phase 4
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Rel-19 Network Energy Savings Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,9.11.1: Downlink coverage enhancement for NR NTN
3GPP TSG RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhancements of Network Energy Savings for NR
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,AI/ML for CSI Prediction
3GPP TSG RAN WG1 #116bis,"Changsha, China",RAN WG1,NR MIMO Enhancements
3GPP TSG RAN WG1#116bis,"Changsha, China",RAN WG1,NR Positioning Maintenance
RAN WG1 #118bis,"Orlando, US",RAN WG1,Evolution of NR Duplex Operation
RAN WG2 #127,"Maastricht, Netherlands",RAN2,NR NTN Phase 3 Core Specifications
RAN WG1#116bis,"Changsha, China",RAN WG1,Rel-19 NR MIMO Enhancements
3GPP TSG RAN WG1 Meeting #119,"Orlando, US",RAN WG1,On-demand SSB SCell operation
RAN WG1 #116-bis,"Changsha, China",RAN WG1,AI/ML for Beam Management
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,DL-AoD measurements in NR-PRU-DL-Info
TSG-RAN WG4 Meeting #118,"Maastricht, Netherlands",RAN WG4,AI/ML Beam Management Interoperability
TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",TSG-RAN WG1,Ambient IoT Requirements
RAN WG1 #116,"Athens, Greece",RAN WG1,Ambient IoT device architectures
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 Multi-carrier enhancements UE features
RAN WG1 #118,"Maastricht, NL",RAN WG1,ISAC Channel Modeling
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Physical layer specifications for NR enhancements
RAN WG1 #116bis,"Changsha, China",RAN WG1,Physical layer aspects of ambient IoT
RAN WG1 #119,"Orlando, USA",RAN WG1,LP-WUS operation in IDLE/INACTIVE mode
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR Enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,9.3.2: SBFD Random Access Operation
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer protocol enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Collision handling for positioning SRS
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR NTN enhancements for RedCap devices
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Physical layer protocol specifications
RAN WG1 #119,"Orlando, US",RAN WG1,ISAC Channel Modeling
RAN WG1 #118-bis,"Hefei, China",RAN WG1,Rel-19 3TX UL Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Physical layer procedures
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,9.5.2: On-demand SIB1 for idle/inactive mode UEs
RAN WG1 #119,"Orlando, Florida",RAN WG1,9.1.4.1: Additional study on CSI compression
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,UE features enhancements for Rel-18
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 Ambient IoT Physical Layer Design
RAN WG1 #118bis,"Hefei, China",RAN WG1,DL coverage enhancements for NTN in Release 19
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Rel-19 NR MIMO Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,ISAC Channel Modeling
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,MIMO Evolution for DL/UL
RAN WG1 #119,"Orlando, FL, USA",RAN WG1,AI/ML for NR Air Interface
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Rel-19 Network Energy Savings Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR RedCap enhancements
3GPP TSG RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,NR Air Interface Specifications
RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer protocol aspects
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR_FeMIMO Work Item Discussions
RAN WG1 #119,"Orlando, US",RAN WG1,Radio Access Network Standardization
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Physical Layer Development
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Frame structure and timing aspects for Ambient IoT
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR RedCap and Small Data Transmission Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 SBFD Enhancements
RAN WG1 #118b,"Hefei, China",RAN WG1,Adaptation of common channel transmissions
RAN WG1 #118bis,"3F Main Room, 2F Breakout #2",RAN1,Release 19 Study Items Finalization
3GPP TSG-RAN WG1 Meeting #119,"Orlando, USA",RAN WG1,Feature Lead summary on discussion for prioritization of SL-PRS
3GPP TSG-RAN3 Meeting #122,"Chicago, USA",RAN WG3,NR Positioning Architecture
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Rel-18 UE features topics set B
TSG-RAN WG1 #116,"Athens, Greece",RAN WG1,NR Sidelink Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,LP-WUS operation in CONNECTED mode
TSG-RAN1 #116,Greece,TSG-RAN1,NR-NTN Solutions
RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,AI/ML for NR Air Interface
3GPP TSG-RAN WG1 Meeting #116-bis,"Changsha, China",RAN WG1,Enhancements for XR and RRM Measurement Optimization
RAN WG1 #119,"Orlando, USA",RAN WG1,Enhancement for asymmetric DL sTRP/UL mTRP scenarios
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Agenda
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,Further NR Mobility Enhancements
3GPP TSG RAN WG1#116-bis,"Changsha, China",RAN WG1,5G NR Physical Layer Specifications
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Physical layer procedures
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR and Ambient IoT standardization
RAN WG1 #118b,"Hefei, China",RAN WG1,Physical layer specifications
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 Work Item Discussion
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,Rel-18 SL Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR Physical Layer Specifications
3GPP TSG-RAN WG1 Meeting #119,"Orlando, US",RAN WG1,5G NR Physical Layer Enhancements
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,LP-WUS and LP-SS Design
3GPP TSG-RAN WG1 Meeting #RAN 119,"Orlando, America",RAN WG1,9.2.2 CSI enhancements
3GPP TSG RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,AI/ML-based beam management specifications
TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Rel-18 NR Positioning Enhancements
TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Release-19 NR-NTN Enhancements
RAN WG1 #119,"Orlando, USA",RAN WG1,Evolution of NR duplex operation: Sub-band full duplex (SBFD)
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,MIMO Phase 5 Enhancements
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Rel-18 Network Energy Savings Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR NTN Downlink Coverage Enhancement
3GPP TSG RAN WG1 #116bis,"Changsha, China",RAN WG1,Evolution of NR duplex operation
RAN WG1 #119,"Orlando, USA",RAN WG1,NR Physical Layer Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,NR-NTN downlink coverage enhancement
TSG-RAN WG1 Meeting #119,"Orlando, US",RAN WG1,Common channel/signal adaptation for eNES
RAN WG1 #119,"Orlando, US",RAN WG1,NR MIMO Phase 5 enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,On-demand SSB operation for SCell
3GPP TSG-RAN WG1 #116-bis,"Fukuoka City, Fukuoka, Japan",RAN WG1,AI/ML-based CSI prediction
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,UE features for TEIs
RAN WG1 Meeting #119,"Orlando, USA",RAN WG1,NR Mobility Enhancements Phase 4
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Physical layer protocol development
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN1,Rel-18 Work Item Finalization
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Agenda Item 9.4.2.1: General aspects of Ambient IoT physical layer
RAN WG1 #118,"Maastricht, NL",RAN1,NR MIMO Phase 5 Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR Positioning
RAN WG1 #119,"Orlando, US",RAN WG1,Ambient IoT R2D Link Level Simulations
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,Release 19 NR Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,3GPP TSG RAN WG1 discussion on NR mobility enhancements
3GPP TSG-RAN WG4 Meeting #112bis,"Hefei, China",RAN4,Rel-19 MIMO Enhancement RF Issues
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,On-demand SIB1 for idle/inactive mode UEs
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Enhancements for asymmetric DL/UL scenarios
RAN WG1 #118bis,"Hefei, China",RAN WG1,SBFD TX/RX/measurement procedures
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Rel-18 Feature Development
3GPP TSG RAN WG1 #117,"Fukuoka City, Japan",RAN WG1,NR NTN Phase 3 Enhancements
3GPP TSG RAN WG1 Meeting #119,"Orlando, USA",RAN WG1,Adaptation of common signals/channels for NES
RAN WG1 Meeting #118,"Maastricht, NL",RAN WG1,Frame structure and timing aspects for A-IoT
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,3Tx UL MIMO Enhancements
TSG-RAN WG2 Meeting #125,"Athens, Greece",RAN2,NR_redcap_enh-Core Work Item Discussions
3GPP TSG RAN WG1 #118-bis,"Hefei, China",RAN WG1,Discussion on common TA in regenerative payload scenarios
3GPP TSG-RAN WG1 Meeting #119,"Orlando, US",RAN WG1,Measurements for LTM Enhancements
TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,NR_FeMIMO-Core Work Item Discussions
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-18 UE Features
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,9.11.2 - NTN RedCap Operation
RAN WG1 #118bis,"Hefei, China",RAN WG1,3GPP TSG RAN WG1 meeting for NR specifications
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,NR-NTN downlink coverage enhancement with beam groups
3GPP TSG RAN WG1 Meeting,"Hefei, China",RAN WG1,NR FeMIMO enhancements
RAN WG1 #116bis,"Changsha, China",RAN WG1,NR MIMO Evolution
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Ambient IoT Device Architecture
RAN WG1 #116,"Athens, Greece",RAN WG1,Channel modelling for ISAC deployment scenarios
RAN WG1 #118,"Maastricht, NL",RAN WG1,3GPP TSG-RAN WG1 Meeting #118 agenda items
RAN WG1 #116,"Athens, Greece",RAN WG1,NR coverage enhancement features
RAN WG1 #118,"Maastricht, NL",RAN WG1,On-demand SSB SCell operation
RAN WG1 #116,"Athens, Greece",RAN WG1,9.1.2 AI/ML for NR Air Interface - Positioning
RAN WG1 #118bis,"Hefei, China",RAN WG1,Support of RedCap/eRedCap UEs in NTN
RAN WG1 #116 bis,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Enhancements for Ambient IoT
RAN WG1 #118bis,"Hefei, China",TSG-RAN WG1,Device (un)availability
RAN WG1 #118,"Maastricht, NL",RAN WG1,LP-WUS operation in CONNECTED modes
3GPP TSG-RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,AI/ML for NR Air Interface
RAN WG1 #116,"Athens, Greece",RAN WG1,UE features for dedicated spectrum less than 5MHz
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,NR NTN Enhancements
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Physical Layer Protocol Development
3GPP TSG RAN #bis,"Hefei, China",TSG RAN,Rel-18 FeMIMO enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,AI/ML Positioning Enhancements
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR MIMO Phase 5 Enhancements
3GPP TSG RAN WG1#119,"Orlando, US",RAN WG1,On-demand SIB1 for idle/inactive mode UEs
RAN WG1 #116,"Athens, Greece",RAN WG1,Sidelink enhancements for Rel-18
RAN WG1 #116,"Athens, Greece",RAN WG1,5G-Advanced Channel Modeling
3GPP TSG RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,SBFD Random Access Operation
RAN WG1 #118bis,"Hefei, China",RAN WG1,Discussion on common TA configuration in regenerative payload scenarios
3GPP TSG RAN WG1#116,"Athens, Greece",RAN WG1,Enhancement for asymmetric DL sTRP/UL mTRP scenarios
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Maintenance issues on NCR behavior
3GPP TSG-RAN1 Meeting #116,Greece,RAN WG1,NR-NTN Solutions
RAN WG1 #119,"Orlando, US",RAN WG1,LP-WUS operation in CONNECTED modes
RAN WG1 #118bis,"Hefei, China",RAN WG1,CSI enhancements for Rel. 19 MIMO
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR-NTN enhancements for RedCap UEs
RAN WG1 #119,"Orlando, US",RAN WG1,Channel Modelling for ISAC
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR Physical Layer Development
3GPP TSG RAN WG1 #11,"Fukuoka, Japan",RAN WG1,Study of AI/ML for CSI Prediction
RAN WG1 #118,"Maastricht, NL",RAN WG1,Physical Layer Design for AIoT
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Rel-17 NTN Specification Gaps
RAN WG1 #118,,RAN WG1,ISAC Channel Modeling
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Waveform characteristics for Ambient IoT
3GPP TSG RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,Enhancements of Network Energy Savings for NR
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR MBS Core Specifications
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Unified TCI State Framework
RAN WG1 #116-bis,"Changsha, China",RAN WG1,CLI handling for SBFD
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR physical layer enhancements and corrections
RAN WG1 #116,"Athens, Greece",RAN WG1,Channel Modelling for ISAC
RAN WG1 #118bis,"Hefei, China",RAN WG1,CSI enhancements for AI/ML applications
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR-NTN Enhancements for RedCap/eRedCap UEs
RAN WG1 #119,"Orlando, US",RAN WG1,Timeline of BW aggregation SRS for positioning
RAN WG1 #118bis,"Hefei, China",RAN WG1,Agenda Item 5: Network Verification of UE Location
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-19 MIMO Evolution and CSI Enhancements
3GPP TSG RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,MIMO evolution in Phase 5 enhancements
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-18 LTM UE Features
RAN WG1 #116,"Athens, Greece",RAN WG1,Adaptation of Common Signal/Channel Transmissions for Network Energy Savings
RAN WG1 #119,"Orlando, US",RAN WG1,RAN1 Chair’s Notes
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 NR MIMO Phase 5 CSI Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,AI/ML for Air Interface
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,PH Reporting for mTRP and STx2P Configurations
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,NR mobility enhancements
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Deployment scenarios for ISAC channel model
TSG RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,PH Reporting Enhancements for mTRP/STx2P
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Enhancements for NR MIMO operations in Rel-19
RAN WG1 #118,"Maastricht, NL",RAN WG1,AI/ML Model Management in Radio Access Networks
RAN WG1 Meeting #119,"Orlando, Florida, USA",RAN WG1,Channel model enhancements for 7-24GHz
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,NR-NTN Phase 3 Work Item Discussion
RAN WG1 #119,"Orlando, USA",RAN WG1,NR Positioning Enhancements
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,NR MIMO and beam management enhancements
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Physical layer design for NR enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 UE Feature Enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR Sidelink Enhancements
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR mobility enhancements
3GPP TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,IoT-NTN TDD Mode
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 ISAC Deployment Scenarios
RAN WG1 #118,"Maastricht, NL",RAN WG1,Channel Model Enhancements for 7-24 GHz
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",RAN WG1,Enhancements for asymmetric DL sTRP/UL mTRP scenarios
RAN WG1 #119,"Orlando, US",RAN WG1,NR-NTN uplink enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Physical layer protocol enhancements
3GPP TSG RAN WG1#116-bis,"Changsha, Hunan Province, China",RAN WG1,NR MIMO Phase 5 Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",TSG-RAN WG1,NR physical layer enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,Frame structure and timing aspects
RAN WG1 #118bis,"Hefei, China",RAN WG1,Ambient IoT Channel/Signal Design
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,Pre-Rel-18 E-UTRA maintenance
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,UE features for TEIs
RAN WG1 #119,"Orlando, US",RAN WG1,3GPP TSG RAN WG1 Meeting #119
RAN WG1 #119,"Orlando, US",RAN WG1,PDCCH with larger AL
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 evolution of NR duplex operation
3GPP TSG RAN WG1 Meeting #118,"Maastricht, NL",RAN WG1,3-antenna-port codebook-based transmissions
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-19 ISAC Deployment Scenarios
RAN WG1 #119,"Orlando, US",RAN WG1,NR-NTN PUSCH Capacity Enhancement
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Downlink and Uplink channel/signal aspects for Ambient IoT
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Data Collection for AI/ML-based Positioning in 5GC
RAN WG1 #119,"Orlando, US",RAN WG1,Enhancements for CLI handling
RAN WG1 #119,"Orlando, US",RAN WG1,Study on ISAC channel modeling
RAN WG1 #116-bis,"Changsha, China",RAN WG1,AI/ML for NR Physical Layer Enhancements
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,NR physical layer enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 Ambient IoT Frame Structure
RAN WG1 #119,"Orlando, US",RAN WG1,Multi-carrier Enhancements for NR
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR MIMO Evolution
3GPP TSG RAN WG1 #119,"Orlando, USA",RAN WG1,Physical layer procedures
RAN WG4 #111,"Fukuoka City, Fukuoka, Japan",RAN WG4,RRM requirements for SL positioning
RAN WG1 #119,"Orlando, US",RAN WG1,A-IoT Resource Allocation and Frame Structure
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan, China",RAN WG1,AI/ML for NR Enhancements
3GPP TSG RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,NR physical layer enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Physical layer standardization for 5G-Advanced/6G
3GPP TSG RAN WG1 Meeting #116-bis,"Changsha, China",RAN WG1,CSI feedback enhancement for AI/ML
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Ambient IoT Device Architecture
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR NTN Enhancements - Timing Advance Corrections
RAN WG1 #119,"Orlando, USA",RAN WG1,Rel-19 CSI Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,A-IoT physical layer standardization
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,5G-Advanced Physical Layer Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,CSI Enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Physical layer design for AIoT
RAN1#118,"Maastricht, Netherlands",RAN WG1,Adaptation of common signals/channels for NES
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",TSG-RAN WG1,Agenda Item 9.7.2: Channel modelling for integrated sensing and communication with NR
RAN WG1 #118-bis,"Hefei, China",RAN WG1,5G-Advanced Physical Layer Enhancements
RAN WG1 #116-bis,"Changsha, China",RAN WG1,9.6.2 LP-WUR Operation in Idle/Inactive Modes
TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Downlink Coverage Enhancements for NR NTN
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,AI/ML for NR Air Interface Evolution
RAN WG1 #118bis,"Hefei, China",RAN WG1,Clarification of cell DTX timing for NTN
RAN WG1 #119,"Orlando, US",RAN WG1,TEI
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Positioning Enhancements
RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,Frame structure and timing aspects for Rel-19 Ambient IoT
3GPP TSG RAN WG1 #118-bis,"Hefei, CN",RAN WG1,IoT-NTN Phase 3 Enhancements
RAN WG1 #116,"Changsha, Hunan Province, China",RAN WG1,NR MIMO enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR-NTN Phase 3 Uplink Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,Downlink and uplink channel/signal aspects for Ambient IoT
3GPP TSG RAN WG1#118-bis,"Hefei, China",RAN WG1,Ambient IoT data block sizes
TSG-RAN WG1 Meeting #116,"Athens, Greece",TSG-RAN WG1,Network Energy Saving Specification Corrections
RAN WG1 #118b,"Hefei, China",RAN WG1,9.4.2.1 - Physical layer design for Ambient IoT
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,A-IoT physical layer design
RAN WG1 #119,"Orlando, US",RAN WG1,ISAC Channel Modeling and Measurement Validation
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,AI-enabled CSI prediction
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 MIMO Maintenance
RAN WG1 #116bis,"Changsha, China",RAN WG1,UE features for Rel-18 NR enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR Coverage Enhancement in Rel-18
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,FR2-NTN specification inclusion
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer procedures
RAN WG1 #116,"Athens, Greece",RAN WG1,NR and LTE Physical Layer Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR Physical Layer Protocol Specification Maintenance
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Agenda Item 5: SLPP Parameters Provision
RAN WG1 #118b,"Hefei, China",RAN WG1,On-demand SIB1 techniques for NES
RAN WG1 #118b,"Hefei, China",RAN WG1,IoT-NTN Uplink Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,UE-initiated Beam Management Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,Downlink and uplink channel/signal aspects for Ambient IoT
TSG RAN WG1 #119,"Orlando, US",RAN WG1,Collision between SSB and RA occasion handling for LTM
TSG-RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 MIMO Evolution Corrections
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Evolution of NR Duplex Operation
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR NTN Phase 3 Enhancements
3GPP TSG-RAN WG1#116,"Athens, Greece",RAN WG1,Radio layer specifications discussion
RAN WG1 #119,"Orlando, US",RAN WG1,IoT-NTN UL Capacity Enhancements
3GPP TSG RAN WG1 Meeting #116bis,,RAN WG1,MIMO Evolution for NR
RAN WG1 #118bis,"Hefei, China",RAN WG1,Channel model enhancements for 7-24 GHz
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Physical Layer Protocol Development
RAN WG1 #116,"Athens, Greece",RAN WG1,Downlink and uplink channel/signal aspects for Ambient IoT
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 XR enhancements for RRM measurement gaps
RAN WG1 #118bis,"Hefei, China",TSG-RAN WG1,Channel model adaptation for 7–24 GHz
RAN WG1 #119,"Orlando, US",RAN WG1,CLI Handling in NR Duplex Evolution
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,CSI compression standardization discussion
3GPP TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,Physical layer enhancements for NR RedCap and LP-WUR
3GPP TSG RAN WG1 Meeting#117,"Fukuoka city, Fukuoka, Japan",RAN WG1,NR Sidelink Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,LP-WUS operation in RRC_CONNECTED mode
RAN WG1 Meeting #118,"Maastricht, Netherlands",TSG-RAN WG1,NR Sidelink Positioning Corrections
RAN WG1 #118bis,"Hefei, China",RAN WG1,AIoT Physical Layer Design
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-18 Maintenance and Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Enhancements for asymmetric DL sTRP/UL mTRP scenarios
RAN WG1 #116,"Athens, Greece",RAN WG1,CSI compression enhancements for Rel-19
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,AI/ML based Positioning
RAN WG1 #118bis,"Hefei, China",RAN WG1,IoT-NTN TDD Mode Design
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Other aspects of AI/ML model and data
RAN WG1 #116-bis,"Changsha, China",RAN WG1,NR NTN Downlink Coverage Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,Channel model validation for 7-24 GHz
