doc_id,entity_name,context,frequency
RAN1#118bis-Schedule,MIMO,Discussed in 6+ sessions across online/offline schedules,8
R1-2409984,HARQ-ACK,Codebook generation rules impacted by DCI format prioritization,5
N/A,MAC-CE,Dynamic update mechanism for PL offsets,4
R1-2408735,OCC,Proposals for symbol-level vs slot-level spreading implementations,28
R1-2410881,TR 38.901,Baseline channel model being extended for near-field characteristics,27
R1-2407460,Type1 PHR,Clause 7.7.1 modification,12
R1-2405142,CSI,Proposals for CSI reporting configuration counting and resource management,15
R1-2404337,CSI-RS,Port aggregation for >32 port configurations,45
R1-2403625,RedCap UE,Center frequency alignment in unpaired spectrum for SDT,8
R1-2402337,LP-WUS,Wake-up signal design for IDLE/INACTIVE and CONNECTED modes,45
R1-2410443,SSB adaptation,Proposed periodicity adaptation from 20ms to 40ms/160ms for energy savings,27
R1-2404104,Bi-LSTM,Used in autoencoder architecture for time-domain compression,8
R1-2403112,SRS,Partial dropping analysis for 8-port TDM-based resources,22
R1-2407991,eType-II,Angular/delay domain representation in W2 compression,12
R1-2409817,UAV,Target category for detection scenarios,5
R1-2409861,RRC Inactive State,Wake-up signal operation requirements,8
R1-2403542,PRACH,Multiple transmission enhancements for coverage improvement,42
R1-2401246,SSB,CLI measurement resource configuration,5
R1-2403759,mux-HARQ-ACK-withoutPUCCH-onPUSCH-r16,Mandatory capability requirements,5
R1-2407665,LP-WUS,Core technical focus of the document,142
R1-2404339,DCI Format 2_3,Proposed for TPC command signaling with extended bit ranges,8
R1-2402668,RFID,Used as reference for comparison of modulation/coding schemes,8
R1-249899,Topology 2,Resource allocation trade-offs for intermediate UE transmissions,8
R1-2407068,RACH Configuration Option 2,Discussion on two-configuration approach for SBFD operation,8
R1-2401495,UAV,Primary detection target use case,15
R1-2408262,DCI format 0_3/1_3,Main scheduling mechanism for multi-cell/multi-PUSCH/PDSCH,28
R1-2402320,Model ID,Used for scenario-specific model activation and NW-UE alignment,27
R1-2400416,PUSCH,Multi-PUSCH CG configurations for XR,12
R1-2401646,HARQ-ACK Codebook,Multiplexing in PUSCH for PDSCH scheduled after UL grant,15
R1-2409420,Manchester Coding,Line coding for preamble signal design,12
R1-2405817,CLI-RSSI,Measurement methodology and reporting enhancements,8
R1-2403652,SL PRS,Power control parameter alignment and dedicated resource pool configurations,15
R1-2404469,TR 38.901,Identified limitations in Doppler shift modeling,8
R1-2408835,Closed-Loop Power Control,Main technical focus of the maintenance issue,25
R1-2409461,FPTX Mode 0,RAN4 LS questions on power scaling,12
R1-2408251,Ambient IoT,Main topic of the document,10
R1-2401700,UCI multiplexing,Discussed in scenarios involving HARQ-ACK overriding on CG PUSCH/PUCCH,15
R1-2407361,TS 38.214,Clause 5.2.2.2.8 modification for CBSR alignment,5
R1-2403086,3GPP TR 38.901,Baseline channel model for extension,4
R1-2402278,Type1 Codebook,Proposed baseline for ML-based PMI prediction,8
R1-2401980,TDD,Alignment of SBFD periodicity with TDD patterns,22
R1-2402003,LEO600km,Reference satellite parameter sets for evaluation,15
R1-2400306,PSFCH,Feedback channel configuration in shared resource pools,3
R1-2408692,LP-WUS,Proposed enhancements for power savings in IDLE/INACTIVE modes,15
R1-2409251,CSI-RS,Channel measurement resource definition,12
R1-2408509,CSI-RS,Spatial relation source configuration,8
R1-2407615,LP-SS,Low-Power Synchronization Signal for UE synchronization in power-saving states,15
R1-2410290,TDL Channel Models,Used for evaluating frequency diversity gains (TDL-A/TDL-D with 30ns/150ns delay spread),12
R1-2403728,PRS,Measurement reporting for positioning,12
R1-2405168,TR38.901,Base document for channel model extensions,27
R1-2405083,Radio Resource Management (RRM),Measurement gap configurations impacting XR traffic scheduling,28
R1-2403415,PDCCH-order PRACH,Discussed for beam determination and PL offset application,5
R1-2404757,MAC CE,Considered as potential signaling mechanism for SSB activation,8
R1-2405317,CORESET,Index-based prioritization for DAI accumulation,8
R1-2408958,TCI States,QCL assumption for periodic CSI-RS,12
R1-2312623,PHR,Enhanced reporting for assumed PUSCH with dynamic waveform switching,5
R1-2404293,SSB,Core component for on-demand transmission in SCell activation,42
R1-2401171,TCI States,Beam indication reference,3
R1-240XXXX,Transport Block Size,Agreements on maximum TB size of ~1000 bits.,10
R1-2407928,CLI,Core subject of the contribution regarding interference measurement and mitigation,48
R1-2409449,TXRU Virtualization,Impact analysis on model generalization capabilities,15
R1-2404740,SBFD,Subband Full Duplex symbol configuration impacts,23
R1-2406196,UAV,Sensing target mobility modeling (0-160 km/h horizontal velocity),15
R1-2409883,SSB,Periodicity extension impacts on initial cell selection latency,28
R1-2410095,FDD Spectrum Regulation,Regulatory constraints prohibiting simultaneous UL/DL operations on FDD sub-bands,5
R1-2410174,Top-K Beam Prediction Accuracy,Performance monitoring metric for model evaluation,
R1-2405965,PRDCH,R2D communication channel structure,8
R1-2402217,SSB,QCL reference for DM-RS antenna ports,3
R1-2402957,Federated Learning,Proposed for collaborative UE-NW model training while preserving privacy.,3
R1-2401365,BWP,Configuration and measurement procedures for Bandwidth Parts,25
R1-2409737,PRACH,Dynamic resource allocation with timing offsets,18
R1-2407921,HD-FDD,Collision analysis in NTN scenarios,15
R1-2406613,LP-WUS,Main subject of the document - discussed across all sections,45
R1-240xxxx,TR 38.901,Referenced for InF-DH/InH-Office pathloss models.,6
R1-2409725,TR 38.901,Base channel model being enhanced,15
R1-2406694,MAC CE,Activation signaling mechanism,28
R1-2409329,MAC RAR,TAG indication in MAC RARs,3
R1-2400317,AI/ML Positioning,Core focus of the document for enhancing UE location estimation,28
R1-2400810,METIS Project,Referenced for deterministic/hybrid modeling examples.,2
R1-2410370,TR 38.901,Referenced for channel modeling parameters and cluster generation methods,8
R1-2400277,multi-TRP,Single/multi-DCI based configurations,12
R1-2409273,Maximum UE Output Power,Clarification of Pcmax determination across cells,12
R1-2407506,SSB,Beam association and QCL assumptions,15
R1-2405562,CG-RRC-RACH-LessConfiguration,Identified as the IE containing non-applicable parameters for CG RACH-less handover.,4
R1-2400357,DFT-s-OFDM,Baseline waveform for PUSCH in NTN UL enhancements,15
R1-2407879,GNSS,Required for UE positioning and NTN timing synchronization,3
R1-2404260,LTM Cell Switch Command MAC CE,Mechanism for indicating TCI states during cell switching,10
R1-2409951,C-DRX,Integration with LP-WUS monitoring occasions,18
R1-2404476,MAC-CE,Dynamic PL offset updates,8
R1-2401004,LSTM,Used as AI-based prediction method in performance evaluations,4
R1-2409404,DCI 1_3,Used for SCell dormancy indication with associated PDSCH assumption,
RAN1#119-Schedule,MIMO,Physical layer enhancements for Release 19,15
CR 0676 rev,SRS,Power control ambiguity resolution,15
R1-2404989,PRS,DL PRS resource prioritization and processing capability calculations,15
R1-2409001,TR38.901,Base document for channel model validation,42
R1-2409152,Spherical Wavefront,Confirmed as necessary modeling approach for near-field characteristics,27
R1-2408880,SSB,Initial access configuration with extended periodicity,8
R1-2410506,OCC,UE multiplexing in 3.75/15 kHz subcarriers,15
R1-2404197,OCC,"Key multiplexing technique evaluated through inter-symbol, inter-slot, inter-repetition and inter-RV schemes",35
R1-2400684,OOK-4,LP-SS waveform option with 4-bit OOK modulation,7
R1-2410589,LSTM,Used for temporal processing in Cases 2 and 3,12
R1-2403334,TS 38.212,PDCCH order field definitions,1
R1-2400822,PRACH,Proposed channel for UE WUS transmission,8
R1-2410814,TCI,Unified TCI framework implementation details,18
R1-2400748,DCI,Proposed 1-bit field for MG skipping,8
R1-2401419,DMRS Bundling,Impact analysis of Cell DRX on phase continuity requirements,12
R1-2401042,LMF,Location Management Function's role in model training and measurement forwarding,12
R1-2408207,PDRCH,Guard period design for energy harvesting during extended transmissions,12
R1-2402112,L1/L2 triggered mobility,Comparison with R18 mobility mechanisms for cell switching,3
R1-2410288,PIE Encoding,Discussed as potential R2D waveform encoding method for clock recovery,4
R1-2407121,RP-234039,Cited as the WID for AI/ML in NR air interface.,1
R1-2410444,OOK-4,Evaluated waveform option with M=2/4 parameterization,32
R1-2406088,SBFD,PRACH repetition mechanisms in SBFD symbols,28
R1-2404980,SL-AoD,Positioning method excluded from requiring SL PRS-RSRP/RSPPP standalone reporting.,1
R1-2407993,CSI,Enhancements for delay/phase/frequency offset reporting,45
R4-2321599,PRS,Requirements for downlink positioning measurements with aggregated bandwidth,5
R1-2401307,Low Pass Filter,Interference suppression component for Ambient IoT devices,4
R1-2400649,ISAC,Core subject of the channel modeling study,15
R1-2409503,MI-Option 2,Model identification via dataset transfer with dataset ID (ID-X),12
R1-2409695,ITU-R M.2410-0,Minimum requirements for IMT-2020,1
R1-2401830,RSRP,Pathloss-based power control dependency,8
R1-2406472,SBFD,Primary focus of the document; discussed in UL muting and CLI measurement proposals.,15
R1-2405054,UAV,Sensing target for outdoor scenarios,4
R1-2404013,DCI 1_3,TCI field interpretation in Type-1B DCI format,8
R1-24xxxxx,CSI-RS,"Supported resource types (Periodic, Semi-persistent, Aperiodic) for UE-side model inference.",15
R1-2400743,OOK-4,Waveform generation scheme with multiple pulses per OFDM symbol,12
R1-2404643,SL BWP,Configuration requirements for carrier aggregation,5
R1-2401103,RRC_INACTIVE,Positioning measurements in inactive state,8
R1-2407073,FR3,Target frequency range for model enhancements,12
R1-24xxxxx,AI/ML,Core theme across all agenda items,
R1-2408797,TR 37.885,Automotive scenario parameters,3
R1-2404759,SSB,Adaptation mechanisms for burst periodicity and SSB count within bursts,27
R1-2410168,CSI-RS,Configuration for beam measurement in candidate cells,27
R1-2405085,SSB,SSB transmission maintenance in NES cells,12
R1-2402773,OCC,Proposed for PUSCH capacity enhancement through code-domain multiplexing,15
R1-2401315,RRM,Measurement gaps impacting XR capacity and mobility performance,12
R1-2409532,HARQ-ACK bundling,Time-domain bundling configuration per co-scheduled cell group,8
R1-2409181,PUSCH,Timing adjustments and UCI multiplexing procedures,12
R1-2401087,UL Tx switching,Configuration for 2 bands using Rel-18 signaling,15
R1-2400826,PRG,PDSCH resource allocation in non-contiguous subbands,8
R1-2408643,SBFD,Main technology discussed throughout document,87
R1-2408573,CORESET,Configuration for Type 0-PDCCH monitoring,5
R1-2403698,RedCap,Exclusion of RedCap/ERedCap UEs from FGs 51-1/2/3,4
R1-2408164,Type-1 CG PUSCH,Pre-configured UL resource for Mode-B beam reporting,8
R1-2403368,Type 2A SL Channel Access Procedure,Channel access mechanism for MCSt transmissions,12
R1-241xxxx,CSI Feedback,Payload size analysis for different compression formats,15
R1-2408287,TS 38.214,Base specification for physical layer procedures,12
R1-2406626,TCI,RRC configuration apply-IndicatedTCIState for PDCCH reception,15
R1-2406777,Beam Hopping,Power sharing mechanism between satellite beams,15
R1-2400038,TCI States,Activation/deactivation after cell switching,9
R1-2406462,Power Headroom Reporting,Reporting mechanisms for simultaneous transmissions,15
R1-2406845,OOK,Signal design for R2D preamble clock-acquisition part,28
R1-2404063,Type 3 Power Headroom (PH),Discussion on reporting eligibility in mTRP configurations,12
R1-24,OFDM,Sequence overlay design for combined OOK/OFDM detection,17
R1-2404276,Model Transfer,Analysis of z1-z5 cases for different training scenarios,7
R1-2403311,NR-DC,Applicability to band combinations with inter-band CA on MCG/SCG,4
R1-2406199,Beamfocusing,Conjugate-phase approach for near-field compensation,12
R1-2404353,UE,Data source for channel measurements,
R1-2402390,SIB1,Energy-saving through on-demand transmission,42
R1-2408020,DCI format 1_3,"Core subject of the CR, discussed in HARQ-ACK codebook determination",15
R1-2402043,OFDM,Discussed for R2D waveform alignment with NR symbol boundaries.,3
R1-2408577,Beam Management,Downlink/uplink beam alignment procedures,15
R1-2400521,SRS,Dual closed-loop power control states for SRS transmissions to separate TRPs,12
R1-2410371,TA Reporting,Enhancements for NTN propagation delay compensation,8
R1-2410086,SBFD,Core technology for full-duplex enhancements,42
R1-2410454,NR-PhaseQuality,Measurement quality reporting for carrier phase positioning,4
R1-2402120,M-TRP,PDCCH repetition technique for coverage enhancement,4
R1-2409768,CG-PUSCH,Pre-configured resources for Mode B beam reporting,2
R1-2406558,Sub-transmission Division,Proposed energy-aware PDRCH segmentation with midambles,8
R1-2408364,DCI formats 0-3/1-3,Multi-cell scheduling mechanisms,8
R1-2402790,Beam Management,Highlighted as a priority use case for model identification,8
R1-2405515,TCI,Joint TCI state configuration for SRS spatial filtering,15
R1-2410738,38.214,Referenced for precoder indication table definitions.,1
R1-2403738,GNSS Measurement Timer,Autonomous GNSS reacquisition configuration and timer duration settings,27
CR-Form-v12.2,Sounding Reference Signal,Aperiodic SRS timing calculation modification,4
R1-2404188,LP-WUS,Procedures for triggering PDCCH monitoring in connected mode,45
R1-2401871,LP-WUS,Supported modulation schemes and operational procedures,15
R1-2404563,OOK-4,Time-domain waveform generation mechanism,67
R1-2405920,OOK-1/OOK-4,Waveform candidates for LP-SS implementation,3
R1-2405274,PRDCH,R2D channel for system information and data transmission,12
R1-2404436,TR 38.901,Base document for channel model enhancements,4
R1-2403014,Dataset ID,Data collection and model training,12
R1-2407449,TCI states,Activated/deactivated via MAC CE for candidate cell synchronization,5
R1-2408553,HD-FDD,Collision handling for semi-static/dynamic UL-DL overlaps,28
R1-2402426,MAC PDU,Generation rules for overlapping PUSCHs,8
R1-2403487,OOK,Modulation scheme for both R2D and D2R,18
R1-2408168,CSI-RS,Used for beam management and candidate cell measurements,18
R1-2403049,TR 38.901,Channel model baseline for communication scenarios,15
R1-2401790,GNSS,UE positioning and pre-compensation for UL transmissions,45
R1-2407112,2TA,Observations 1-3 on timing alignment challenges,8
R1-2407585,AI/ML for Beam Management,Specification support for beam prediction and reporting using machine learning models,23
R1-2405119,UL Full Power Transmission,Discussed in power scaling considerations for 3Tx PUSCH,8
R1-2403446,Slotted-ALOHA,Contention-based access procedure for random access,8
R1-2400886,RRM,Measurement gap configurations and scheduling restrictions,10
R1-2404329,Slotted-ALOHA,Baseline random access protocol for contention-based access,4
R1-2402256,ELAA,Near-field propagation challenges,3
R1-2406016,Autoregressive Model,Used for non-AI/ML CSI prediction with complexity analysis,12
R1-2405883,TS 38.214,CodebookSubset configuration corrections,15
R1-2400989,Carrier Phase Positioning,Closure of Rx phase elimination discussions,5
R1-2410852,DCI 0_2,Compact DCI format requiring separate parameter configuration,12
R1-2405595,SIB1,Discussed as the primary energy-saving target via on-demand transmission,35
R1-2408468,OOK,Modulation scheme for energy-efficient communication in start-indicator and clock-acquisition parts,15
R1-2404868,RF Envelope Detector,Activation thresholds (-30dBm without LNA/-45dBm with LNA) for Device 2a/b,4
R1-2407193,Multi-Channel Access,Procedures for PSFCH prioritization across RB sets,8
R1-2401584,Rel-18 DD codebook,Primary performance benchmark for non-AI methods,22
R1-2408874,IoT-NTN,Main subject of the contribution,28
R1-2407578,Type II Codebook,Baseline comparison for evaluation metrics,8
R1-2407874,Beam Management,Main focus of the document,45
R1-2409294,SRS-PosResource,Spatial relation configuration for positioning in RRC_INACTIVE,4
R1-2408939,LNA,Low-Noise Amplifier usage in Device 2b for sensitivity improvement,8
R1-2408740,SRS Antenna Switching,Proposed configurations for 3T6R and extensions to 3T4R/3T8R.,10
R1-2409487,Carrier Wave,Discussed as primary technical component for Ambient IoT backscattering,42
R1-2409063,CJTC,Calibration reporting for non-ideal synchronization,5
R1-2406880,D2R,Contention-based access procedures and payload size considerations,
R1-2410281,Type-2 HARQ-ACK Codebook,Codebook structure discussion for multi-cell scheduling,12
R1-2408618,sl-TransmissionStructureForPSCCHandPSSCH,Defines PRB allocation rules for shared spectrum operations,3
R1-2406541,L1-RSRP,Key measurement metric for performance monitoring,89
R1-2410638,Device 2b,Requires Budget-Alt2 (no sensitivity threshold) for 50m coverage in D1T1,12
R1-2403353,TRP,Transmission Reception Point identification in measurements,3
R1-2410823,3GPP TS 38.213,Contains current specification text about last DCI format determination,4
R1-2401418,DL PRS Bandwidth Aggregation,Same antenna port requirements,8
R1-2406464,LMF,Central entity for model training and data collection,12
R1-2408690,Set A/Set B,Beam measurement sets for AI/ML models,42
R1-2410902,PRACH,Dropping rules for intra-band transmission coordination,15
R1-24xxxxx,SBFD,Deployment scenario for discussed CLI handling schemes,32
R1-2404737,BM-Case1,Spatial-domain DL Tx beam prediction based on measurement results,4
R1-2410044,CSI compression,Inter-vendor collaboration options for dataset exchange and model compatibility,12
R1-2405856,SSB,Dynamic transmission patterns for energy savings,42
R1-2404997,DCI format 3_2,Proposed enhancements for monitoring behavior,15
R1-2404938,Full-Duplex,Complexity and cost challenges in monostatic backscattering configurations,4
R1-2404225,SSB,Proposals to adapt SSB periodicity for connected-mode UEs without impacting legacy devices.,28
R1-2402368,EVM,Key performance metric for evaluations,
R1-2402348,eRedCap,Rel-18 RedCap enhancements,12
R1-2410398,QCL-Type D,Beam association requirement for LP-WUS/LP-SS,7
R1-2408319,MAC-CE,MAC-CE based update for new-beam RS configuration,8
R1-2405975,Performance Monitoring,Type 1/Type 2 monitoring mechanisms for model lifecycle management,18
R1-2409848,OCC,Proposals for symbol/slot-level OCC alignment and DMRS design,25
R1-2406134,SBFD,Core technology for duplex evolution enhancements,87
R1-2407473,TCI-State,Pathloss reference association in power control,12
R1-2400696,Model Lifecycle Management,Section 3 proposes model-ID-based LCM procedures for network-UE collaboration.,8
R1-2404700,DL PRS,Measurement source for model inputs,4
R1-2403373,Preamble,Timing acquisition in R2D/D2R transmissions,5
R1-2407425,TS 38.304,Defines UE_ID calculations and subgrouping mechanisms.,8
R1-2405524,DL BWP,Focus on initial/non-initial BWP SCS/CP alignment.,15
R1-2404291,PDRCH,Preamble designs and contention-based access,32
R1-2405727,Carrier Aggregation,Simultaneous triggering across CCs,5
R1-2409340,AI/ML,Beam management and positioning accuracy enhancements,23
R1-2404313,PEI,Paging Early Indication for subgroup information,4
R1-2407536,PDSCH,PDSCH configuration for MTCH/MCCH,27
R1-2409505,CJT,Calibration under non-ideal backhaul with standalone aperiodic reporting,22
R1-2401169,PRACH,Support of multiple PRACH transmissions with same Tx spatial filter,4
R1-2407294,TS38.214,Duplicated parameter nrofHARQ-ProcessesForPUSCH correction,5
R1-2404697,MAC CE,Signaling method for SSB triggering,8
R1-2406520,CQI,Assumed power ratio calculation,4
R1-2401220,TRP-UE Bistatic,Preferred sensing mode for outdoor human detection,5
R1-2407038,SIB1,Core subject of analysis for network energy saving tradeoffs,42
R1-2401749,SRS,Collision resolution in inactive state,12
R1-2401643,eRedCap,Discussed as a Rel-18 feature for IoT/wearables with reduced complexity.,25
R1-2401180,Link Budget,"Detailed analysis of components including Tx power, antenna gains, and sensitivity values",12
R1-2407283,Qualcomm,Supported Alt1 for Issue 1 and Alt2 for Issue 2,2
R1-2407876,CSI-RS,Proposed for beam management and CSI acquisition in candidate cells,32
R1-2408511,3GPP TS 38.213,Alternative approach to collision handling via switching time considerations.,3
R1-2405395,NTN,Maintenance updates for Rel-18 specifications,15
R1-2405344,DMRS,Proposals for enhancements in Rel-18 MIMO configurations,15
R1-2404821,PRACH,Time/spatial-domain adaptation and overlap scenarios with legacy resources.,12
R1-2405086,PRACH,Spatial-domain resource allocation studies,22
R1-2410363,LP-WUS,Procedures for triggering PDCCH monitoring in connected mode.,25
R1-2403750,MU-MIMO,Advanced receiver design considerations,
R1-2401420,PRACH,Power ramping counter suspension during dropped/reduced transmissions,15
R1-2403714,C-DRX,Interaction mechanisms for PDCCH monitoring triggers,89
R1-2403612,PRS,Bandwidth aggregation across positioning frequency layers,15
R1-2400718,DCI format 1_3,Multi-cell PDSCH scheduling,12
R1-2406191,kssb,SSB subcarrier offset parameter used for NES cell identification,15
R1-2409429,SRS antenna switching,UE capability configuration for 3T6R operation,8
R1-2410864,SRS-PosTx-Hopping,Higher layer parameter enabling frequency hopping for positioning SRS,4
R1-2409775,DCI,Dynamic indication to skip measurement gaps,15
R1-2410171,UE-initiated beam management,Main topic of the document,15
R1-2407355,CLI,Discussed throughout document as primary focus area,87
R1-2406619,DCI format 1_3,Multi-cell scheduling functionality,8
R1-2405804,Intermediate UE,Operation in Topology 2 with resource pool configurations,8
R1-24xxxxx,DL-PRS,Configuration for training data collection in AI/ML-based positioning.,8
R1-2408317,TRS,Handling measurement ambiguity when only one TRS is configured in TCI states,15
R1-2402538,EVM,Error Vector Magnitude used for SLS evaluations.,3
R1-2405454,PRS,Bandwidth aggregation processing and measurement reporting,15
R1-2408195,FR3,Frequency range under study,10
R1-2404419,CFRA,Analysis of dedicated resource configuration aspects,8
R1-2410909,drx-onDurationTimer,Timer management for DRX operation,2
R1-2406942,LP-WUS,Wake-up signal design for power efficiency in IDLE/INACTIVE modes,45
R1-2404656,Associated ID,Links data configurations to model IDs for training-inference consistency,8
R1-2404601,L1-RSRP,Key measurement metric for model training/inference,32
R1-2409669,NR-TimingQuality,Reuse existing quality indicators for channel measurements,8
R1-2409464,RRC Parameter Configuration,Configuration of 4-port SRS resources with port 1003 disabled,8
R1-2400811,OOK-4,Transform M-bit OOK in time domain using DFT-precoding,15
38.214,38.213,Reference for UE selection procedures,3
R1-2403459,UL RTOA,Reference time definition for Case 3b measurements,15
R1-2409611,TR38.901,Baseline channel model being adapted for 7-24 GHz,15
R1-2408362,KPIs,Intermediate metrics for UE-side model training,2
R1-2408467,FDMA,Proposed for Msg1/Msg3 transmissions to reduce collision rates,4
R1-2404238,K_offset,Timing offset parameter for NTN propagation delay compensation,8
R1-2400764,SCell dormancy,BWP switching mechanisms and scheduling restrictions,18
R1-2410037,OOK-4,Waveform option for LP-WUS with timing error tolerance analysis.,12
R1-2406545,DRX,Measurement reporting conditions during discontinuous reception,
R1-2406099,Automotive Vehicles,Outdoor sensing targets with specific RCS characteristics,2
R1-2405692,TS 38.214,Corrections for PSSCH transmission rules and guard band handling,8
R1-2407557,RedCap UE,Behavior correction in non-initial DL BWPs,15
R1-2403511,MAC-CE,Semi-persistent activation/deactivation,22
R1-2403021,NR,Coexistence and frame structure alignment,8
R1-2401890,DCI 1_3,Added to scheduling mechanisms for multi-cell PDSCH,8
R1-2405144,CIR,Channel Impulse Response measurements analysis,8
R1-2409743,SGCS Gain,Performance metric comparing AI/ML compression to conventional methods,8
R1-2410766,Unified TCI framework,Core framework for beam management across multiple channels,12
R1-2410889,MPR,Transmitter requirements analysis,3
R1-2407287,ZC Sequence,Preferred for overlaid OFDM sequences due to good correlation properties,15
R1-2406606,RFID,Referenced for collision resolution mechanisms in contention-based access,5
R1-2408588,SBFD,Main technology enabling simultaneous UL/DL transmissions,12
R1-2400457,SL-U,COT sharing initiation including PSFCH transmissions,15
R1-2405316,DCI format,Ordering mechanism for PUCCH resource determination,23
R1-2400004,SL-CA,Carrier selection for CSI reporting,5
R1-2400610,Backscattering Module,Device i architecture discussion,8
R1-2406890,TDL-A Channel,Channel model used for link level simulations,3
R1-2400784,LTE,Comparison of SS/PBCH periodicities with NR,12
R1-2408628,PDSCH,EPRE ratio correction,4
R1-2405498,Scenario #2A,Prioritized scenario for SCell activation command timing,38
R1-2404592,OFDM,Considered as baseline waveform for R2D links,7
R1-2409241,SSB,QCL relationship with LP-WUS beams,23
R1-2404570,TR 36.777,Cited for UAV LOS probability modeling,1
R1-2406106,SBFD,Main technology being discussed for random access enhancements,45
R1-2403712,Partial Sensing,Resource selection restriction in coexistence scenarios,3
R1-2401332,MAC CE,Signaling method for SCell activation/deactivation,8
R1-2404726,SBFD,Enhancement target for CLI handling,15
R1-2402891,LP-WUS,Core subject of the proposals for idle/inactive mode operation,42
R1-2403296,PSCCH,Transmission resource allocation without sensing,8
R1-2401901,DCI format 2_8,Beam indication mechanism,8
R1-2406661,Manchester Coding,Rejected for LP-SS due to correlation performance impacts,8
R1-2405236,Kalman Filter,Non-AI/ML benchmark for CSI prediction,1
R1-2407797,CIR,Proposed as model input for LMF-side positioning models,15
R1-2405550,OCC,Inter-slot/symbol OCC schemes for multi-user multiplexing,42
R1-2406667,Massive MIMO,Antenna panel implementation challenges at 7-24 GHz,3
R1-2408827,L1-RSRP,Used as measurement quantity for beam quality comparison,15
R1-2402404,SBFD,Random access procedure enhancements,42
R1-2409172,Inter-UE Coordination Scheme-2,Discussed as a coordination mechanism for resource conflict avoidance in sidelink communications.,25
R1-2410777,TR 38.843,Referenced for R18 study outputs on model identification types,3
R1-2409755,NES Cell,SIB1 transmission behavior and cell transition implications,10
R1-2404912,Sidelink,Resource allocation procedure correction,15
R1-2407938,RSRP,Quantization and differential reporting for AI/ML inputs,12
R1-24xxxxx,LTM,TA command application timing and power control,12
R1-2404462,SSB,Cell synchronization and measurement reference,42
R1-2402387,Slotted-ALOHA,Contention-based access procedure for uplink,8
R1-2402816,Swerling Models,Proposed baseline for RCS modeling,12
R1-2406853,eDRX,Discussed as a future consideration for extended DRX cycles.,5
R1-2407437,SSB,On-demand transmission mechanisms for SCell operation,15
R1-2403422,OCC,Evaluated for uplink capacity enhancement across slots/symbols under NTN impairments,87
R1-2400381,Unified TCI,Used as baseline framework for beam management enhancements,3
R1-2403523,Type-I Codebook,Discussions on extending spatial basis selection and PMI structure for 48-128 ports,42
R1-2409975,QCL,QCL relationships for serving/candidate cell RS determination,12
R1-2404078,PTRS,Association with DMRS ports in multi-TRP configurations,15
R1-2401189,PRACH,Coverage limitations in mid-band TDD systems,12
R1-2400807,WUS,Triggering method for SIB1 requests,18
R1-2404633,Swerling Models,RCS fluctuation models for different target types,3
R1-2402257,TR38.901,Base document for channel model extensions,15
R1-2409694,Pathloss Model,Indoor LOS/NLOS measurements,8
R1-2408337,Hybrid Beamforming,System using both analog and digital beamforming for 128-port CSI-RS,3
R1-2406809,OCC,Multiplexing technique for UL capacity enhancement,42
R1-2406780,OCC,Slot-level and symbol-level implementations for NPUSCH Format 1,15
04752,STxMP,Simultaneous transmission configuration,5
R1-2407484,SRS Carrier Switching,Configuration parameters discussion,5
R1-2400622,LCM,Discussed as a framework for managing AI/ML model lifecycle including activation/switching.,15
R1-2401833,PDCCH,Monitoring requirements when overlapping with SS/PBCH blocks,15
R1-2408681,TCI-State,QCL relationship configuration for LP-WUS,8
R1-2407585,SBFD,Evolution of duplex operation in 9.3 with TX/RX procedures and CLI handling,8
R1-2407187,TCI,Alignment of RRC parameters and activation procedures,42
R1-240XXXX,Ambient IoT,Main study focus for ultra-low power devices,58
R1-2401285,SUL,Relation to PUCCH/PUSCH configurations in DCI formats,15
R1-2407976,SSB,Adaptation of periodicity and muting during Cell DTX,42
R1-2402409,CSI-ReportSubConfig,Configuration parameters for sub-configurations in CSI reporting.,12
R1-2407569,38.211,Physical layer specifications for NR,12
R1-2407124,Carrier Wave,Controllable characteristics for interference management,27
R1-2409869,OCC,Enhancements for NPUSCH transmission,15
R1-2406538,UE Subgrouping,Bitmap-based wake-up indication mechanisms,12
R1-2409084,TC-RNTI,RNTI type used for scheduling Msg3 transmissions,2
R1-2405920,eDRX,Extended DRX cycles consideration for LP-WUS monitoring,2
R1-2403141,Beam Prediction Accuracy,Monitoring metric for AI/ML models,8
R1-2409490,PUSCH,UL transmission resource affected by muting patterns,45
R1-2400076,Backscattering,UL transmission method for Device A+/B using external carrier reflection,15
R1-2409239,SSB Beam,Beam association for LP-WUS transmission,23
R1-2401612,RTD,Relative time difference between anchor UEs,8
R1-2410553,PDCCH,Time-domain repetition techniques for CSS coverage enhancement,18
R1-2404863,OCC,Uplink capacity enhancement technique,
R2-2401969,switchingAdditionalPeriodDualUL-r18,Parameter to report improved switching period capability,4
R1-2405590,Search Space Set,UE monitoring behavior and configuration counting,18
R1-2401632,TCI,QCL assumptions for AP CSI-RS with overlapping DL signals,15
R1-2409603,UL WUS,PRACH-based triggering method for SIB1 request,18
R1-2407876,LTM,Main topic of the document discussing mobility enhancements,45
R1-2408793,PRACH,DCI-based dynamic resource allocation for RACH capacity management,18
R1-2409500,LMF,Location Management Function handling AI model inference and data alignment,15
R1-2406781,SBFD,Core technology for NR duplex enhancement,28
R1-2406365,SRS,Resource indication for 3-port transmission,8
R1-2402446,CQI,Power assumption correction for calculation,4
